iteration,shaken,after_local_search,best
1,3.88793e+06,2.0378e+06,2.0378e+06
2,2.03922e+06,1.65625e+06,1.65625e+06
3,1.66269e+06,1.55291e+06,1.55291e+06
4,1.57929e+06,1.51596e+06,1.51596e+06
5,1.51461e+06,1.46965e+06,1.46965e+06
6,1.47744e+06,1.4366e+06,1.4366e+06
7,1.43526e+06,1.41142e+06,1.41142e+06
8,1.43199e+06,1.40138e+06,1.40138e+06
9,1.41195e+06,1.36803e+06,1.36803e+06
10,1.37829e+06,1.35214e+06,1.35214e+06
11,1.40598e+06,1.39877e+06,1.35214e+06
12,1.40172e+06,1.34055e+06,1.34055e+06
13,1.38693e+06,1.38063e+06,1.34055e+06
14,1.34147e+06,1.32931e+06,1.32931e+06
15,1.33951e+06,1.31674e+06,1.31674e+06
16,1.35693e+06,1.34888e+06,1.31674e+06
17,1.33065e+06,1.31574e+06,1.31574e+06
18,1.31738e+06,1.28599e+06,1.28599e+06
19,1.29834e+06,1.29488e+06,1.28599e+06
20,1.76764e+06,1.44348e+06,1.28599e+06
21,1.29797e+06,1.28511e+06,1.28511e+06
22,1.46946e+06,1.36855e+06,1.28511e+06
23,1.34879e+06,1.3115e+06,1.28511e+06
24,1.39386e+06,1.36767e+06,1.28511e+06
25,1.43346e+06,1.28667e+06,1.28511e+06
26,1.4079e+06,1.39289e+06,1.28511e+06
27,1.30646e+06,1.29638e+06,1.28511e+06
28,1.28923e+06,1.27847e+06,1.27847e+06
29,1.27005e+06,1.25568e+06,1.25568e+06
30,1.26065e+06,1.2532e+06,1.2532e+06
31,1.25739e+06,1.2524e+06,1.2524e+06
32,1.42266e+06,1.26097e+06,1.2524e+06
33,1.32334e+06,1.32334e+06,1.2524e+06
34,1.48123e+06,1.34502e+06,1.2524e+06
35,1.25491e+06,1.24439e+06,1.24439e+06
36,1.27786e+06,1.2759e+06,1.24439e+06
37,1.31223e+06,1.2318e+06,1.2318e+06
38,1.29843e+06,1.22801e+06,1.22801e+06
39,1.228e+06,1.22181e+06,1.22181e+06
40,1.41811e+06,1.29964e+06,1.22181e+06
