generation,best,avg,worst,std
1,2.61376e+06,3417582.779,4327236.287,456967.624
2,2226553.050,2751291.501,3256657.163,214589.076
3,2096103.525,2426411.475,3016128.900,184304.397
4,2039655.413,2249827.822,2472725.250,118449.162
5,1954334.750,2148257.265,3241432.738,218740.559
6,1875174.713,2037096.634,2421858.575,124174.721
7,1812533.000,1974950.960,2470348.837,148085.624
8,1742434.513,1881719.745,2076463.813,68236.345
9,1740829.338,1879073.569,2482379.175,153708.713
10,1714899.388,1833691.025,2344769.363,128363.033
11,1654305.838,1784636.768,2108533.125,80274.947
12,1654672.550,1784928.599,2226346.825,121832.176
13,1664264.338,1765840.630,2189045.837,117138.972
14,1655938.363,1716585.610,2070456.475,64845.749
15,1647725.350,1739162.491,2226385.038,134284.227
16,1650919.100,1725477.790,2155919.687,123933.020
17,1642856.850,1702593.735,2051164.100,99488.880
18,1636393.863,1686074.087,2114311.675,80781.078
19,1640284.913,1709575.199,2150729.262,132856.836
20,1624285.063,1679850.516,2025429.000,76062.325
21,1616412.663,1666278.032,1850545.438,49663.636
22,1615680.663,1639733.152,1685156.275,16019.344
23,1614271.088,1653438.065,2256962.762,100342.087
24,1614824.525,1651584.694,2009253.563,74411.027
25,1612727.513,1656527.279,2143541.475,116904.422
26,1611538.413,1628460.058,1697959.700,19737.282
27,1611538.413,1629694.043,1730509.763,26449.529
28,1610191.650,1671725.655,2189253.025,140036.911
29,1608022.688,1664096.801,2128260.500,108562.047
30,1608022.688,1647751.409,1902758.838,73429.921
31,1607469.250,1679422.218,2141686.700,148901.387
32,1605148.562,1669097.906,2141684.862,124110.872
33,1602763.563,1654566.074,2125204.062,118947.421
34,1602802.038,1657390.972,2114898.462,99886.030
35,1602802.038,1657570.086,2026944.075,92396.249
36,1602763.563,1664814.058,2117594.212,110977.738
37,1601445.738,1670180.367,2039693.288,109344.653
38,1601445.738,1706677.294,2108472.938,156843.246
39,1601445.738,1688123.682,2205198.862,140327.236
40,1601445.738,1694471.316,2061163.275,145961.283
41,1600697.763,1670861.331,2091008.213,125381.896
42,1600697.763,1682003.084,2050374.738,138339.889
43,1600404.213,1672885.696,2056237.338,139878.536
44,1600659.288,1700253.612,2100655.938,168521.121
45,1600404.213,1707570.110,2082450.363,168442.863
46,1600404.213,1654437.344,2055501.663,113450.131
47,1600404.213,1649565.575,2058484.838,102877.652
48,1600376.188,1652817.024,2082067.138,122600.766
49,1600340.688,1665854.630,2053582.675,116717.973
50,1600340.688,1692743.278,2242935.137,160831.891
51,1600340.688,1661847.896,2132874.887,127501.262
52,1600340.688,1644724.712,1848689.550,68820.038
53,1600340.688,1667857.590,2038071.250,121671.608
54,1600312.663,1666398.699,2028472.125,118332.810
55,1600312.663,1671907.851,2149256.662,127167.525
56,1600312.663,1688974.618,2057857.538,151378.460
57,1600312.663,1630802.022,2032375.563,72547.472
58,1600004.888,1679336.232,2104538.387,139566.999
59,1598951.488,1646211.379,2025348.350,85103.321
60,1597056.613,1659471.798,2054368.588,128102.104
61,1597211.688,1703715.765,2066327.438,164225.909
62,1596592.588,1714339.514,2071606.338,150176.309
63,1596592.588,1701487.475,2299708.862,171193.486
64,1596165.238,1680610.499,2295535.487,171498.386
65,1596101.713,1640149.786,2007213.813,92320.102
66,1596101.713,1644379.853,2025714.663,102517.315
67,1596041.900,1641180.871,2047260.313,106680.322
68,1595770.988,1739237.802,2843265.312,253617.475
69,1596101.713,1679085.681,2097388.112,134039.360
70,1595707.463,1658771.429,2032702.925,117251.182
71,1595707.463,1648200.714,2100240.962,112694.765
72,1595707.463,1694225.271,2046848.075,159322.226
73,1595647.650,1647543.388,2032422.588,103011.324
74,1595707.463,1675496.426,2230287.487,153572.355
75,1595707.463,1625492.331,1964223.125,60869.345
76,1595707.463,1638452.201,2137089.762,96639.625
77,1595707.463,1684256.555,2206408.025,174342.351
78,1595707.463,1643518.771,2038495.375,115573.005
79,1595707.463,1691599.082,2842871.062,220127.477
80,1595647.650,1629434.532,2002077.925,79449.452
81,1595707.463,1661580.299,2270825.513,158052.650
82,1595707.463,1638068.008,2023916.888,97039.565
83,1595707.463,1656514.744,2270825.513,143134.446
84,1595707.463,1646379.766,2843278.200,203228.978
85,1592910.812,1694410.177,2047656.613,146539.327
86,1590555.838,1663441.724,2026542.063,118280.378
87,1589056.188,1632543.743,1955739.088,64508.397
88,1589056.188,1696055.317,2113227.962,146157.504
89,1587584.150,1662639.512,2161409.175,123255.736
90,1589403.450,1694563.253,2132598.475,157975.257
91,1587359.188,1691240.184,2126169.800,154538.488
92,1587359.188,1652194.002,2130774.175,123611.109
93,1588343.138,1649656.733,2181791.575,127053.566
94,1588343.138,1633643.374,1950138.838,79176.533
95,1588343.138,1658895.263,2031377.550,132249.998
96,1588343.138,1698908.223,2096422.887,171128.234
97,1588343.138,1657742.749,2121682.288,142887.547
98,1588283.325,1658820.825,2014379.063,134833.576
99,1588343.138,1619817.314,1836026.138,65656.391
100,1588343.138,1658124.710,2014662.438,116718.275
