iteration,shaken,after_local_search,best
1,2.85604e+06,2.67044e+06,2.67044e+06
2,2.49523e+06,2.3392e+06,2.3392e+06
3,2.47799e+06,2.43971e+06,2.3392e+06
4,2.3606e+06,1.98415e+06,1.98415e+06
5,2.00567e+06,1.94362e+06,1.94362e+06
6,2.15523e+06,2.13716e+06,1.94362e+06
7,1.94044e+06,1.94033e+06,1.94033e+06
8,1.95421e+06,1.9141e+06,1.9141e+06
9,1.93788e+06,1.93504e+06,1.9141e+06
10,1.89508e+06,1.8829e+06,1.8829e+06
11,1.88279e+06,1.85254e+06,1.85254e+06
12,1.85507e+06,1.85507e+06,1.85254e+06
13,2.25055e+06,2.24938e+06,1.85254e+06
14,2.01477e+06,2.01477e+06,1.85254e+06
15,1.88006e+06,1.87764e+06,1.85254e+06
16,1.86005e+06,1.85692e+06,1.85254e+06
17,1.87583e+06,1.82383e+06,1.82383e+06
18,2.22479e+06,2.19931e+06,1.82383e+06
19,2.28392e+06,2.24644e+06,1.82383e+06
20,1.88162e+06,1.85126e+06,1.82383e+06
21,1.80615e+06,1.79656e+06,1.79656e+06
22,1.80032e+06,1.78442e+06,1.78442e+06
23,1.79332e+06,1.79052e+06,1.78442e+06
24,2.20326e+06,2.20155e+06,1.78442e+06
25,2.34014e+06,2.34014e+06,1.78442e+06
26,1.79552e+06,1.78503e+06,1.78442e+06
27,2.17571e+06,1.81193e+06,1.78442e+06
28,1.81938e+06,1.78609e+06,1.78442e+06
29,1.78455e+06,1.74124e+06,1.74124e+06
30,1.83504e+06,1.82762e+06,1.74124e+06
31,1.88844e+06,1.87649e+06,1.74124e+06
32,1.74473e+06,1.74127e+06,1.74124e+06
33,1.75967e+06,1.7596e+06,1.74124e+06
34,1.98051e+06,1.78938e+06,1.74124e+06
35,1.75815e+06,1.73984e+06,1.73984e+06
36,1.82595e+06,1.82293e+06,1.73984e+06
37,1.76206e+06,1.75084e+06,1.73984e+06
38,1.74008e+06,1.74008e+06,1.73984e+06
39,1.74673e+06,1.74673e+06,1.73984e+06
40,2.20324e+06,2.20324e+06,1.73984e+06
41,1.74028e+06,1.74028e+06,1.73984e+06
42,1.74684e+06,1.73742e+06,1.73742e+06
43,1.7653e+06,1.7653e+06,1.73742e+06
44,1.78993e+06,1.78834e+06,1.73742e+06
45,2.20769e+06,2.20769e+06,1.73742e+06
46,1.73812e+06,1.73812e+06,1.73742e+06
47,1.74135e+06,1.74135e+06,1.73742e+06
48,2.15384e+06,1.88986e+06,1.73742e+06
49,1.78045e+06,1.77669e+06,1.73742e+06
50,2.17221e+06,2.16407e+06,1.73742e+06
51,1.76925e+06,1.76706e+06,1.73742e+06
52,1.74469e+06,1.71837e+06,1.71837e+06
53,1.81571e+06,1.80807e+06,1.71837e+06
54,1.74112e+06,1.73348e+06,1.71837e+06
55,1.79483e+06,1.78217e+06,1.71837e+06
56,1.73642e+06,1.73266e+06,1.71837e+06
57,2.15203e+06,2.13448e+06,1.71837e+06
58,1.72056e+06,1.72056e+06,1.71837e+06
59,1.714e+06,1.714e+06,1.714e+06
60,1.72428e+06,1.71885e+06,1.714e+06
61,2.37198e+06,2.35301e+06,1.714e+06
62,1.7578e+06,1.73656e+06,1.714e+06
63,1.8249e+06,1.783e+06,1.714e+06
64,1.75516e+06,1.75516e+06,1.714e+06
65,1.70495e+06,1.70495e+06,1.70495e+06
