generation,best,avg,worst,std
1,2.72806e+06,4064245.643,5727727.050,728696.663
2,2401648.350,3084336.145,4235645.562,423760.904
3,2350823.775,2636515.140,4064803.600,305924.931
4,2003562.900,2402406.052,3621715.313,262765.936
5,1847456.488,2171536.542,2782655.812,180641.561
6,1696307.413,1988925.430,2559372.412,160160.921
7,1638540.988,1843065.288,2406677.900,148042.928
8,1614745.950,1755331.639,2389486.375,145498.496
9,1552973.150,1656922.697,1865166.288,61013.522
10,1502801.688,1647697.833,2045744.150,107699.214
11,1464593.125,1549501.641,1720508.638,54561.694
12,1417000.125,1511990.724,1612272.650,43919.582
13,1390046.538,1479285.969,1716952.900,61086.688
14,1369873.238,1431924.818,1520658.875,37433.443
15,1320310.238,1417993.833,1761784.750,83675.702
16,1320984.125,1420795.243,2624845.050,198024.312
17,1301617.538,1363900.396,1594456.850,63858.270
18,1288920.300,1363409.706,1894227.325,103841.103
19,1274041.400,1345421.777,2193426.650,145017.964
20,1269681.400,1309873.781,1513541.138,46807.782
21,1259074.050,1308428.311,1686920.350,71779.578
22,1256694.675,1351672.146,2538271.338,227122.329
23,1248373.788,1297570.724,1696339.562,80236.990
24,1243887.875,1298807.481,1708465.350,85395.044
25,1245943.400,1294581.550,1616712.425,75895.619
26,1242970.200,1280693.399,1585579.725,71808.924
27,1242632.113,1309675.674,2154183.400,165827.062
28,1237947.263,1281553.952,1456016.425,57528.130
29,1240972.788,1261548.066,1450334.388,40309.931
30,1235659.138,1286842.330,1779542.063,91705.737
31,1233471.763,1324931.934,2457957.087,260160.832
32,1228656.562,1276239.057,1548954.050,67384.751
33,1227607.863,1267124.865,1577994.550,67358.798
34,1226446.550,1259202.330,1466601.863,54101.594
35,1226446.550,1276987.540,2099314.300,135065.419
36,1222064.063,1249258.936,1524288.500,51159.589
37,1222572.650,1252557.671,1507453.700,52143.314
38,1216248.550,1263398.945,1760515.475,108285.767
39,1212661.750,1240550.776,1342438.825,27910.844
40,1212661.750,1257599.112,2137809.700,145817.614
41,1208507.825,1242675.140,1350966.000,37845.105
42,1209097.612,1232827.684,1333025.750,28152.990
43,1209097.612,1258744.121,2085038.963,135649.155
44,1208606.825,1240347.429,1647070.887,72428.565
45,1208687.212,1226868.378,1423740.375,34477.968
46,1208491.337,1246681.969,1577291.938,75578.931
47,1207628.025,1223708.140,1302607.225,18782.750
48,1208114.025,1226263.075,1403917.713,31444.007
49,1207316.925,1239059.060,1440809.863,51503.446
50,1207316.925,1238832.401,1474655.225,52490.527
51,1206377.175,1258807.605,2127969.375,148678.277
52,1206377.175,1233309.095,1373095.763,38707.767
53,1203497.338,1276908.528,2130529.912,197405.255
54,1202481.988,1247203.298,1577840.263,68125.075
55,1202481.988,1231336.936,1537755.050,54787.211
56,1202481.988,1246386.848,1799404.950,98029.380
57,1202285.475,1226822.136,1407182.638,36616.585
58,1202473.188,1248694.547,1461615.950,60134.005
59,1202354.387,1226655.962,1326804.587,28946.754
60,1202264.188,1229391.263,1510865.188,53027.862
61,1202264.188,1273370.021,2124560.187,167283.250
62,1202007.538,1236018.830,1369819.350,43814.136
63,1201841.475,1242110.411,1639517.863,74883.643
64,1201794.200,1242770.966,1642249.625,96043.449
65,1201841.475,1240908.925,1512834.238,71399.563
66,1201483.413,1266894.461,1656145.025,108843.838
67,1200316.337,1263172.412,2406886.113,193408.345
68,1199238.812,1235800.229,1507671.338,59094.951
69,1199617.275,1255139.564,1714147.788,88401.565
70,1199535.350,1234162.523,1450701.988,61842.195
71,1198631.012,1236986.833,1753347.738,91006.524
72,1198131.325,1257506.397,2119429.987,164677.857
73,1198016.825,1219639.507,1301692.413,27681.134
74,1198016.825,1232356.624,1707127.088,83374.346
75,1197796.600,1229986.230,1347405.313,39796.561
76,1197394.412,1251646.036,2475814.600,197457.787
77,1197775.975,1238003.487,1707695.037,87670.277
78,1196913.575,1221930.982,1423284.888,44992.026
79,1197315.762,1263953.500,2073904.525,155876.568
80,1195814.437,1219522.512,1283421.400,24257.693
81,1195814.437,1263126.269,1749329.125,122076.659
82,1196963.975,1232368.557,1718649.113,82057.512
83,1196933.363,1225222.788,1421945.200,50158.228
84,1196682.850,1236645.521,2119582.600,143540.463
85,1196356.825,1220711.115,1354178.650,36442.449
86,1196356.825,1237768.727,1686781.075,79330.087
87,1196356.825,1284140.758,2410837.300,233403.393
88,1196356.825,1236934.677,1625839.325,75703.933
89,1196356.825,1221632.801,1502371.225,51042.611
90,1196324.237,1232594.798,1469094.863,63054.378
91,1195954.638,1246239.048,1787305.213,107843.755
92,1196301.550,1226042.623,1436226.800,50758.513
93,1196301.550,1220141.344,1315182.700,29107.584
94,1196301.550,1216964.373,1327688.300,29380.663
95,1196301.550,1226130.962,1376379.875,48425.624
96,1196301.550,1220917.060,1501960.575,51107.191
97,1196301.550,1229350.311,1472081.863,62517.597
98,1196301.550,1254003.174,2118379.750,155570.044
99,1196301.550,1241073.759,1480497.700,63300.030
100,1197424.925,1247814.294,1634255.350,88380.561
101,1196552.062,1250335.524,2461094.888,195382.571
102,1196295.412,1240342.618,1704384.313,86051.886
103,1196044.900,1233331.882,1738728.988,89107.864
104,1196044.900,1234175.338,1507223.988,60132.028
105,1195189.763,1239176.964,1861174.300,105588.665
106,1195189.763,1213294.224,1260695.000,20966.064
107,1195189.763,1213836.065,1378587.100,31987.179
108,1195189.763,1259320.333,1827934.250,133643.281
109,1195440.275,1235544.363,1731294.413,84175.531
110,1195189.763,1235605.770,1745563.762,95102.493
111,1195670.600,1216107.454,1345158.125,36611.505
112,1195189.763,1224960.749,1408087.338,46733.711
113,1195189.763,1237762.755,1624167.913,82697.853
114,1195189.763,1253342.493,1562374.763,85381.345
115,1194787.575,1223108.263,1366481.513,35089.911
116,1195189.763,1268611.388,2501073.188,211089.104
117,1195189.763,1248740.218,1788582.888,102601.412
118,1195189.763,1221593.833,1291052.913,28202.756
119,1195189.763,1255335.806,2432709.137,193369.096
120,1194405.050,1247227.119,1623958.312,104086.633
121,1193702.475,1231216.165,1662349.150,81445.619
122,1193702.475,1228627.519,1352835.500,38540.784
123,1193612.275,1224953.473,1427072.650,59581.553
124,1194014.463,1224236.540,1325917.725,39722.403
125,1193612.275,1245911.600,1591865.462,101394.032
126,1193612.275,1226578.887,1745506.087,86540.039
127,1193612.275,1236896.110,1560797.275,71611.509
128,1193612.275,1239652.256,1572291.388,82596.582
129,1193612.275,1230871.361,1399709.388,48330.148
130,1193612.275,1237211.677,1444281.875,60707.681
131,1193612.275,1225969.141,1479931.975,51646.881
132,1193612.275,1230027.557,1560797.275,67726.145
133,1193612.275,1222307.521,1422856.413,47767.952
134,1193612.275,1236082.236,1784089.075,101609.136
135,1193612.275,1241112.243,1622153.588,83517.517
136,1193612.275,1215330.661,1291177.400,25545.263
137,1193612.275,1213555.767,1309200.475,28720.097
138,1193612.275,1310183.559,2430338.875,252205.653
139,1193612.275,1237719.459,1500063.513,68208.189
140,1193612.275,1245009.761,1785979.150,120475.680
141,1193612.275,1250190.999,2431612.788,201391.117
142,1193612.275,1228968.569,1745435.075,85574.384
143,1193612.275,1230804.659,1510352.888,60150.975
144,1193612.275,1231017.968,1506698.438,59632.271
145,1193612.275,1209769.108,1300407.275,20776.400
146,1193612.275,1241719.189,1791115.075,97376.996
147,1193928.938,1221701.952,1505258.838,53840.727
148,1193612.275,1217988.632,1297955.575,26894.052
149,1193612.275,1251407.846,2407979.738,188401.096
150,1193612.275,1292080.092,2503371.438,283006.833
151,1193612.275,1243509.797,1523728.863,68698.036
152,1193947.675,1244957.398,2117984.538,145095.719
153,1193947.675,1232250.890,1504970.263,55379.764
154,1194641.838,1217447.359,1301570.525,25962.687
155,1194419.438,1238749.660,1704457.450,88309.167
156,1191411.188,1222189.619,1337125.413,33554.365
157,1191914.038,1223836.431,1385090.800,40545.708
158,1191914.038,1244443.939,1622656.438,80118.523
159,1191914.038,1264383.978,2409667.250,194565.474
160,1192769.087,1265818.588,2498037.850,202932.963
161,1191914.038,1241039.100,1590238.938,86093.076
162,1190643.038,1229990.302,1667037.888,88539.227
163,1190174.838,1219397.897,1417212.300,45740.985
164,1189835.875,1212449.603,1368221.113,38070.112
165,1190174.838,1226017.354,1524418.075,67601.430
166,1189367.675,1229052.778,1463586.438,63803.690
167,1189367.675,1200953.785,1244770.900,12639.788
168,1189367.675,1210680.497,1420883.275,38736.651
169,1189367.675,1225106.613,1602973.588,84147.226
170,1190057.387,1225955.741,1703265.275,102884.460
171,1189618.188,1218836.703,1375598.113,45058.706
172,1189618.188,1238383.441,1595157.875,89824.396
173,1189806.875,1228562.488,1772544.425,92445.641
174,1189806.875,1233302.979,1775083.975,105882.234
175,1189567.625,1259339.430,2371226.038,228252.006
176,1189367.675,1225148.228,1467510.913,59703.134
177,1190017.288,1231691.904,1747241.675,88119.027
178,1189806.875,1224544.297,1398356.300,41954.242
179,1189806.875,1223429.248,1525009.475,68413.715
180,1189806.875,1254249.177,2442978.837,203441.457
181,1189806.875,1237720.895,1776181.013,122526.079
182,1189114.200,1218981.380,1506170.600,54901.840
183,1189483.800,1238668.596,2112267.475,145406.095
184,1189483.800,1231050.016,1832358.525,108357.954
185,1189606.925,1265611.457,2438314.038,204147.083
186,1189449.150,1257452.567,2459136.275,203747.472
187,1189422.950,1215997.622,1368891.638,39092.072
188,1189606.925,1273197.868,1772599.700,151840.576
189,1189606.925,1222141.202,1620060.725,71564.532
190,1189606.925,1221466.427,1347508.338,43559.537
191,1189606.925,1223896.042,1692340.900,84385.740
192,1189667.250,1231379.137,1788389.488,98750.994
193,1189863.575,1225169.182,1440733.125,56364.952
194,1189863.575,1238941.027,1704775.525,91158.058
195,1189863.575,1215574.573,1362917.138,34205.914
196,1190290.125,1239041.102,1620317.375,82574.633
197,1189876.600,1216586.912,1414720.100,46246.189
198,1189863.575,1229380.879,1451200.588,58296.764
199,1189863.575,1232421.930,1627899.450,77831.377
200,1190598.175,1260230.637,2097415.775,167546.239
201,1189606.925,1212822.750,1322367.088,31262.598
202,1189606.925,1243057.412,1706972.438,100157.390
203,1189606.925,1226423.200,1440276.525,55369.502
204,1189606.925,1227694.484,1414562.838,59761.386
205,1189486.475,1232969.992,1626322.050,79629.025
206,1189486.475,1243629.473,2499245.638,202964.852
207,1189486.475,1237084.950,1568891.500,86651.806
208,1189486.475,1211686.748,1327801.863,31386.474
209,1189486.475,1218706.668,1492664.100,52554.175
210,1189486.475,1226987.389,1527809.525,61316.957
211,1189486.475,1227128.161,1634586.725,78362.797
212,1189486.475,1245264.309,2435168.913,193573.303
213,1189486.475,1264413.348,2487004.850,210299.546
214,1189486.475,1223920.271,1663755.275,78886.023
215,1189486.475,1215310.564,1311938.375,30957.083
216,1189486.475,1216231.683,1385020.400,39057.740
217,1189486.475,1242100.423,2097637.475,142789.647
218,1189486.475,1229961.354,1688858.075,82857.551
219,1189486.475,1217942.151,1433050.613,49113.175
220,1189486.475,1234239.682,1578567.000,84571.904
221,1189486.475,1231674.179,1618027.788,77589.921
222,1189486.475,1207010.222,1280431.062,21671.233
223,1189486.475,1204581.114,1271316.463,18436.199
224,1189973.975,1254055.368,2459279.175,198899.570
225,1189486.475,1223026.218,1459531.250,51497.935
226,1189486.475,1221226.022,1428925.113,47748.094
227,1190009.588,1239302.738,2098766.712,140731.845
228,1190231.863,1251900.717,1823589.650,134141.874
229,1189486.475,1215120.492,1459531.250,44354.900
230,1189486.475,1242121.534,1753413.125,102889.391
231,1189367.675,1257136.850,2506481.325,206478.487
232,1189486.475,1229610.906,1525886.675,72634.603
233,1189367.675,1219913.507,1457965.050,49604.804
234,1189486.475,1247548.899,1680292.137,95593.791
235,1189486.475,1218440.693,1501686.500,56659.184
236,1189486.475,1241448.274,1772463.275,100929.839
237,1189486.475,1245728.184,1786052.013,102006.383
238,1189486.475,1245043.726,1868870.125,132191.713
239,1189486.475,1224329.676,1376943.350,46736.031
240,1189486.475,1213467.217,1626201.600,69814.862
241,1189486.475,1232885.030,1418421.913,64743.513
242,1189486.475,1232309.425,1786989.275,96059.677
243,1189486.475,1216861.238,1347101.488,36326.373
244,1189367.675,1219186.054,1559091.213,66164.428
245,1189422.950,1241295.176,2111564.675,144566.188
246,1189367.675,1213063.924,1424620.138,42988.153
247,1189367.675,1230234.138,1823418.875,99995.368
248,1189422.950,1224748.526,1429695.113,59760.450
249,1189367.675,1223910.143,1642444.600,72824.926
250,1189367.675,1210066.418,1320651.875,34406.506
