iteration,shaken,after_local_search,best
1,3.31721e+06,1.62136e+06,1.62136e+06
2,1.62268e+06,1.3442e+06,1.3442e+06
3,1.47542e+06,1.39416e+06,1.3442e+06
4,1.35636e+06,1.33909e+06,1.33909e+06
5,1.36651e+06,1.28081e+06,1.28081e+06
6,1.44358e+06,1.35127e+06,1.28081e+06
7,1.3781e+06,1.26357e+06,1.26357e+06
8,2.51505e+06,1.28279e+06,1.26357e+06
9,1.51516e+06,1.34179e+06,1.26357e+06
10,1.52285e+06,1.3088e+06,1.26357e+06
11,1.30911e+06,1.23087e+06,1.23087e+06
12,1.79514e+06,1.40442e+06,1.23087e+06
13,1.45385e+06,1.29027e+06,1.23087e+06
14,1.24427e+06,1.21375e+06,1.21375e+06
15,1.35753e+06,1.21761e+06,1.21375e+06
16,1.24538e+06,1.21217e+06,1.21217e+06
17,1.2933e+06,1.23525e+06,1.21217e+06
18,1.22393e+06,1.22213e+06,1.21217e+06
19,1.23468e+06,1.20212e+06,1.20212e+06
20,1.22714e+06,1.22205e+06,1.20212e+06
21,1.80447e+06,1.20765e+06,1.20212e+06
22,1.25878e+06,1.25638e+06,1.20212e+06
23,2.59693e+06,1.31295e+06,1.20212e+06
24,1.21657e+06,1.21657e+06,1.20212e+06
25,1.21261e+06,1.20247e+06,1.20212e+06
26,1.31642e+06,1.30545e+06,1.20212e+06
27,1.23192e+06,1.20683e+06,1.20212e+06
28,1.2159e+06,1.21518e+06,1.20212e+06
29,1.2255e+06,1.2255e+06,1.20212e+06
30,1.2932e+06,1.21502e+06,1.20212e+06
31,1.45321e+06,1.34786e+06,1.20212e+06
32,1.53979e+06,1.22508e+06,1.20212e+06
33,1.21065e+06,1.20622e+06,1.20212e+06
34,1.47807e+06,1.28793e+06,1.20212e+06
35,1.2687e+06,1.26798e+06,1.20212e+06
36,1.26415e+06,1.20093e+06,1.20093e+06
37,1.20631e+06,1.19995e+06,1.19995e+06
38,1.21408e+06,1.19854e+06,1.19854e+06
39,1.22157e+06,1.21165e+06,1.19854e+06
40,1.28197e+06,1.25573e+06,1.19854e+06
41,1.34176e+06,1.30571e+06,1.19854e+06
42,1.48382e+06,1.25305e+06,1.19854e+06
43,1.2153e+06,1.21082e+06,1.19854e+06
44,1.26803e+06,1.26803e+06,1.19854e+06
45,1.20611e+06,1.20391e+06,1.19854e+06
46,1.21406e+06,1.20474e+06,1.19854e+06
47,1.23884e+06,1.20679e+06,1.19854e+06
48,1.20935e+06,1.20609e+06,1.19854e+06
49,1.20194e+06,1.19248e+06,1.19248e+06
50,1.19789e+06,1.19789e+06,1.19248e+06
51,1.24947e+06,1.20139e+06,1.19248e+06
52,1.20008e+06,1.19591e+06,1.19248e+06
53,1.21116e+06,1.20615e+06,1.19248e+06
54,1.30226e+06,1.25245e+06,1.19248e+06
55,1.64117e+06,1.61984e+06,1.19248e+06
56,1.19713e+06,1.19576e+06,1.19248e+06
57,1.28122e+06,1.23229e+06,1.19248e+06
58,1.24355e+06,1.23796e+06,1.19248e+06
59,1.29777e+06,1.19489e+06,1.19248e+06
60,1.19961e+06,1.19503e+06,1.19248e+06
61,1.74147e+06,1.33465e+06,1.19248e+06
62,2.38198e+06,1.19076e+06,1.19076e+06
63,1.32141e+06,1.23952e+06,1.19076e+06
64,1.33226e+06,1.32702e+06,1.19076e+06
65,1.28335e+06,1.27724e+06,1.19076e+06
66,1.21173e+06,1.21173e+06,1.19076e+06
67,1.31466e+06,1.27355e+06,1.19076e+06
68,1.21412e+06,1.19388e+06,1.19076e+06
69,1.28299e+06,1.25424e+06,1.19076e+06
70,1.25583e+06,1.2341e+06,1.19076e+06
71,1.24178e+06,1.21605e+06,1.19076e+06
72,1.21978e+06,1.21978e+06,1.19076e+06
73,1.24557e+06,1.22718e+06,1.19076e+06
74,1.20745e+06,1.20665e+06,1.19076e+06
75,1.20084e+06,1.20084e+06,1.19076e+06
76,1.23445e+06,1.20334e+06,1.19076e+06
77,1.2529e+06,1.24145e+06,1.19076e+06
78,1.21125e+06,1.19216e+06,1.19076e+06
79,1.22753e+06,1.20379e+06,1.19076e+06
80,1.32241e+06,1.20486e+06,1.19076e+06
81,1.26372e+06,1.24509e+06,1.19076e+06
82,1.20144e+06,1.19826e+06,1.19076e+06
83,1.2215e+06,1.21975e+06,1.19076e+06
84,1.30764e+06,1.30764e+06,1.19076e+06
85,1.21364e+06,1.21364e+06,1.19076e+06
86,1.29876e+06,1.24641e+06,1.19076e+06
87,1.27628e+06,1.20392e+06,1.19076e+06
88,1.30046e+06,1.29185e+06,1.19076e+06
89,1.23555e+06,1.21743e+06,1.19076e+06
90,1.25226e+06,1.20036e+06,1.19076e+06
91,1.37194e+06,1.26459e+06,1.19076e+06
92,1.24148e+06,1.20302e+06,1.19076e+06
93,1.2518e+06,1.23756e+06,1.19076e+06
94,1.33519e+06,1.20684e+06,1.19076e+06
95,1.23377e+06,1.20279e+06,1.19076e+06
96,1.20689e+06,1.1994e+06,1.19076e+06
97,1.27236e+06,1.19255e+06,1.19076e+06
98,1.52927e+06,1.25422e+06,1.19076e+06
99,1.25572e+06,1.25572e+06,1.19076e+06
100,1.21516e+06,1.19076e+06,1.19076e+06
101,1.26084e+06,1.24492e+06,1.19076e+06
102,1.19617e+06,1.19554e+06,1.19076e+06
103,1.21726e+06,1.19451e+06,1.19076e+06
104,1.2044e+06,1.20217e+06,1.19076e+06
105,1.2243e+06,1.20535e+06,1.19076e+06
106,1.20854e+06,1.19088e+06,1.19076e+06
107,1.19961e+06,1.19243e+06,1.19076e+06
108,1.21935e+06,1.21935e+06,1.19076e+06
109,1.25851e+06,1.20231e+06,1.19076e+06
110,1.27038e+06,1.26226e+06,1.19076e+06
111,1.19787e+06,1.19787e+06,1.19076e+06
112,1.217e+06,1.21089e+06,1.19076e+06
113,1.32508e+06,1.19423e+06,1.19076e+06
114,1.21481e+06,1.21234e+06,1.19076e+06
115,1.19869e+06,1.1945e+06,1.19076e+06
116,1.29415e+06,1.27066e+06,1.19076e+06
117,1.22153e+06,1.22153e+06,1.19076e+06
118,1.25866e+06,1.24293e+06,1.19076e+06
119,1.20669e+06,1.19682e+06,1.19076e+06
120,1.19617e+06,1.19076e+06,1.19076e+06
121,1.27218e+06,1.26411e+06,1.19076e+06
122,1.29425e+06,1.27857e+06,1.19076e+06
123,1.20358e+06,1.19234e+06,1.19076e+06
124,1.24613e+06,1.22572e+06,1.19076e+06
125,1.25462e+06,1.25423e+06,1.19076e+06
126,1.21592e+06,1.20076e+06,1.19076e+06
127,1.22909e+06,1.22909e+06,1.19076e+06
128,1.19932e+06,1.19466e+06,1.19076e+06
129,1.20887e+06,1.19076e+06,1.19076e+06
130,1.28294e+06,1.25123e+06,1.19076e+06
131,1.3549e+06,1.31452e+06,1.19076e+06
132,1.2157e+06,1.2157e+06,1.19076e+06
133,2.27642e+06,1.19815e+06,1.19076e+06
134,1.25768e+06,1.22459e+06,1.19076e+06
135,2.41014e+06,1.24995e+06,1.19076e+06
136,1.24846e+06,1.20729e+06,1.19076e+06
137,1.22991e+06,1.21846e+06,1.19076e+06
