iteration,constructed,improved,best
1,1.43189e+06,1.28568e+06,1.28568e+06
2,1.29175e+06,1.24346e+06,1.24346e+06
3,1.3519e+06,1.29695e+06,1.24346e+06
4,1.30164e+06,1.25694e+06,1.24346e+06
5,1.32518e+06,1.2547e+06,1.24346e+06
6,1.40663e+06,1.26154e+06,1.24346e+06
7,1.43589e+06,1.32841e+06,1.24346e+06
8,1.34814e+06,1.24077e+06,1.24077e+06
9,1.31903e+06,1.26182e+06,1.24077e+06
10,1.39561e+06,1.26184e+06,1.24077e+06
11,1.33456e+06,1.26234e+06,1.24077e+06
12,1.35181e+06,1.25115e+06,1.24077e+06
13,1.31236e+06,1.21339e+06,1.21339e+06
14,1.31693e+06,1.23478e+06,1.21339e+06
15,1.35418e+06,1.26671e+06,1.21339e+06
16,1.36417e+06,1.25688e+06,1.21339e+06
17,1.27065e+06,1.23462e+06,1.21339e+06
18,1.26947e+06,1.23243e+06,1.21339e+06
19,1.34195e+06,1.25021e+06,1.21339e+06
20,1.29598e+06,1.25863e+06,1.21339e+06
21,1.34444e+06,1.29839e+06,1.21339e+06
22,1.32557e+06,1.23531e+06,1.21339e+06
23,1.25468e+06,1.2346e+06,1.21339e+06
24,1.36338e+06,1.24391e+06,1.21339e+06
25,1.35392e+06,1.28729e+06,1.21339e+06
26,1.39633e+06,1.31673e+06,1.21339e+06
27,1.33102e+06,1.22552e+06,1.21339e+06
28,1.28107e+06,1.24131e+06,1.21339e+06
29,1.41332e+06,1.26222e+06,1.21339e+06
30,1.36542e+06,1.27367e+06,1.21339e+06
31,1.31069e+06,1.25697e+06,1.21339e+06
32,1.33583e+06,1.2209e+06,1.21339e+06
33,1.37325e+06,1.28228e+06,1.21339e+06
34,1.3457e+06,1.29643e+06,1.21339e+06
35,1.36647e+06,1.29842e+06,1.21339e+06
36,1.2735e+06,1.22639e+06,1.21339e+06
37,1.25905e+06,1.24391e+06,1.21339e+06
38,1.38559e+06,1.26226e+06,1.21339e+06
39,1.38848e+06,1.35663e+06,1.21339e+06
40,1.3813e+06,1.30264e+06,1.21339e+06
