iteration,current,best,temp
1,3.67155e+06,3.67094e+06,50000.000000
2,3488158.562500,3488158.562500,50000.000000
3,3472953.400000,3472953.400000,50000.000000
4,3468418.512500,3468418.512500,50000.000000
5,3469222.175000,3468418.512500,50000.000000
6,3430871.350000,3430871.350000,49750.000000
7,3430871.350000,3430871.350000,49750.000000
8,3432026.350000,3430871.350000,49750.000000
9,3432026.350000,3430871.350000,49750.000000
10,3423592.287500,3423592.287500,49750.000000
11,3423555.575000,3423555.575000,49501.250000
12,3379190.750000,3379190.750000,49501.250000
13,3397250.037500,3379190.750000,49501.250000
14,3336252.537500,3336252.537500,49501.250000
15,3356873.712500,3336252.537500,49501.250000
16,3163625.512500,3163625.512500,49253.743750
17,3142837.062500,3142837.062500,49253.743750
18,3142837.062500,3142837.062500,49253.743750
19,3135832.475000,3135832.475000,49253.743750
20,3138042.887500,3135832.475000,49253.743750
21,3138042.887500,3135832.475000,49007.475031
22,3139715.687500,3135832.475000,49007.475031
23,3116910.487500,3116910.487500,49007.475031
24,3092114.137500,3092114.137500,49007.475031
25,3091290.375000,3091290.375000,49007.475031
26,3088599.375000,3088599.375000,48762.437656
27,2846819.375000,2846819.375000,48762.437656
28,2846322.175000,2846322.175000,48762.437656
29,2847257.725000,2846322.175000,48762.437656
30,2847428.350000,2846322.175000,48762.437656
31,2858340.125000,2846322.175000,48518.625468
32,2854788.125000,2846322.175000,48518.625468
33,2853325.625000,2846322.175000,48518.625468
34,2853325.625000,2846322.175000,48518.625468
35,2853325.625000,2846322.175000,48518.625468
36,2853325.625000,2846322.175000,48276.032340
37,2855933.750000,2846322.175000,48276.032340
38,2838255.912500,2838255.912500,48276.032340
39,2839304.037500,2838255.912500,48276.032340
40,2859169.437500,2838255.912500,48276.032340
41,2813629.625000,2813629.625000,48034.652179
42,2816446.250000,2813629.625000,48034.652179
43,2820413.675000,2813629.625000,48034.652179
44,2812363.737500,2812363.737500,48034.652179
45,2801451.962500,2801451.962500,48034.652179
46,2797315.337500,2797315.337500,47794.478918
47,2795963.912500,2795963.912500,47794.478918
48,2788605.475000,2788605.475000,47794.478918
49,2788676.425000,2788605.475000,47794.478918
50,2768845.600000,2768845.600000,47794.478918
51,2762001.400000,2762001.400000,47555.506523
52,2798364.800000,2762001.400000,47555.506523
53,2798364.800000,2762001.400000,47555.506523
54,2793011.300000,2762001.400000,47555.506523
55,2793011.300000,2762001.400000,47555.506523
56,2822152.500000,2762001.400000,47317.728991
57,2817284.175000,2762001.400000,47317.728991
58,2826215.675000,2762001.400000,47317.728991
59,2826778.325000,2762001.400000,47317.728991
60,2826143.712500,2762001.400000,47317.728991
61,2826215.175000,2762001.400000,47081.140346
62,2826215.175000,2762001.400000,47081.140346
63,2826835.525000,2762001.400000,47081.140346
64,2830083.962500,2762001.400000,47081.140346
65,2819106.062500,2762001.400000,47081.140346
66,2718925.937500,2718925.937500,46845.734644
67,2720773.937500,2718925.937500,46845.734644
68,2724306.512500,2718925.937500,46845.734644
69,2724830.575000,2718925.937500,46845.734644
70,2731564.175000,2718925.937500,46845.734644
71,2712075.125000,2712075.125000,46611.505971
72,2712075.125000,2712075.125000,46611.505971
73,2712075.125000,2712075.125000,46611.505971
74,2719321.925000,2712075.125000,46611.505971
75,2718285.325000,2712075.125000,46611.505971
76,2698800.200000,2698800.200000,46378.448441
77,2698800.200000,2698800.200000,46378.448441
78,2698800.200000,2698800.200000,46378.448441
79,2697013.512500,2697013.512500,46378.448441
80,2697013.512500,2697013.512500,46378.448441
81,2697151.637500,2697013.512500,46146.556199
82,2697151.637500,2697013.512500,46146.556199
83,2697151.637500,2697013.512500,46146.556199
84,2697151.637500,2697013.512500,46146.556199
85,2697151.637500,2697013.512500,46146.556199
86,2703365.537500,2697013.512500,45915.823418
87,2700694.812500,2697013.512500,45915.823418
88,2697130.187500,2697013.512500,45915.823418
89,2697130.187500,2697013.512500,45915.823418
90,2684301.637500,2684301.637500,45915.823418
91,2686261.537500,2684301.637500,45686.244301
92,2687233.387500,2684301.637500,45686.244301
93,2631962.112500,2631962.112500,45686.244301
94,2631962.112500,2631962.112500,45686.244301
95,2611079.712500,2611079.712500,45686.244301
96,2626212.787500,2611079.712500,45457.813079
97,2624825.287500,2611079.712500,45457.813079
98,2624825.287500,2611079.712500,45457.813079
99,2624825.287500,2611079.712500,45457.813079
100,2611356.787500,2611079.712500,45457.813079
101,2611356.787500,2611079.712500,45230.524014
102,2610983.725000,2610983.725000,45230.524014
103,2610983.725000,2610983.725000,45230.524014
104,2615519.987500,2610983.725000,45230.524014
105,2611899.700000,2610983.725000,45230.524014
106,2539842.175000,2539842.175000,45004.371394
107,2539842.175000,2539842.175000,45004.371394
108,2539842.175000,2539842.175000,45004.371394
109,2539842.175000,2539842.175000,45004.371394
110,2539650.550000,2539650.550000,45004.371394
111,2516968.537500,2516968.537500,44779.349537
112,2532514.387500,2516968.537500,44779.349537
113,2532514.387500,2516968.537500,44779.349537
114,2532514.387500,2516968.537500,44779.349537
115,2486324.037500,2486324.037500,44779.349537
116,2479590.437500,2479590.437500,44555.452789
117,2486672.237500,2479590.437500,44555.452789
118,2490350.162500,2479590.437500,44555.452789
119,2490350.162500,2479590.437500,44555.452789
120,2490056.012500,2479590.437500,44555.452789
121,2494669.212500,2479590.437500,44332.675525
122,2480164.975000,2479590.437500,44332.675525
123,2473083.175000,2473083.175000,44332.675525
124,2393786.050000,2393786.050000,44332.675525
125,2396994.400000,2393786.050000,44332.675525
126,2396994.400000,2393786.050000,44111.012147
127,2395691.950000,2393786.050000,44111.012147
128,2395691.950000,2393786.050000,44111.012147
129,2395175.800000,2393786.050000,44111.012147
130,2395126.300000,2393786.050000,44111.012147
131,2395126.300000,2393786.050000,43890.457087
132,2391966.025000,2391966.025000,43890.457087
133,2391966.025000,2391966.025000,43890.457087
134,2395079.175000,2391966.025000,43890.457087
135,2394474.500000,2391966.025000,43890.457087
136,2394474.500000,2391966.025000,43671.004801
137,2394936.787500,2391966.025000,43671.004801
138,2391992.775000,2391966.025000,43671.004801
139,2391992.775000,2391966.025000,43671.004801
140,2391992.775000,2391966.025000,43671.004801
141,2386082.062500,2386082.062500,43452.649777
142,2386710.200000,2386082.062500,43452.649777
143,2394055.512500,2386082.062500,43452.649777
144,2394055.512500,2386082.062500,43452.649777
145,2394055.512500,2386082.062500,43452.649777
146,2392918.587500,2386082.062500,43235.386528
147,2392918.587500,2386082.062500,43235.386528
148,2370125.937500,2370125.937500,43235.386528
149,2372262.000000,2370125.937500,43235.386528
150,2388714.800000,2370125.937500,43235.386528
151,2401736.150000,2370125.937500,43019.209596
152,2401736.150000,2370125.937500,43019.209596
153,2401853.950000,2370125.937500,43019.209596
154,2399821.675000,2370125.937500,43019.209596
155,2432424.362500,2370125.937500,43019.209596
156,2432424.362500,2370125.937500,42804.113548
157,2432833.162500,2370125.937500,42804.113548
158,2418323.700000,2370125.937500,42804.113548
159,2418323.700000,2370125.937500,42804.113548
160,2418323.700000,2370125.937500,42804.113548
161,2418323.700000,2370125.937500,42590.092980
162,2418323.700000,2370125.937500,42590.092980
163,2418323.700000,2370125.937500,42590.092980
164,2442478.512500,2370125.937500,42590.092980
165,2442478.512500,2370125.937500,42590.092980
166,2437865.312500,2370125.937500,42377.142515
167,2437865.312500,2370125.937500,42377.142515
168,2438720.362500,2370125.937500,42377.142515
169,2438720.362500,2370125.937500,42377.142515
170,2455252.962500,2370125.937500,42377.142515
171,2448700.262500,2370125.937500,42165.256803
172,2448009.462500,2370125.937500,42165.256803
173,2448009.462500,2370125.937500,42165.256803
174,2448009.462500,2370125.937500,42165.256803
175,2448009.462500,2370125.937500,42165.256803
176,2443069.662500,2370125.937500,41954.430519
177,2443971.537500,2370125.937500,41954.430519
178,2442316.312500,2370125.937500,41954.430519
179,2448125.387500,2370125.937500,41954.430519
180,2448125.387500,2370125.937500,41954.430519
181,2448125.387500,2370125.937500,41744.658366
