iteration,shaken,after_local_search,best
1,3.41912e+06,2.42354e+06,2.42354e+06
2,2.4912e+06,1.84051e+06,1.84051e+06
3,2.3498e+06,2.10001e+06,1.84051e+06
4,1.93633e+06,1.69849e+06,1.69849e+06
5,1.70934e+06,1.67164e+06,1.67164e+06
6,1.80582e+06,1.70468e+06,1.67164e+06
7,1.66525e+06,1.62315e+06,1.62315e+06
8,1.76254e+06,1.43989e+06,1.43989e+06
9,1.47353e+06,1.33219e+06,1.33219e+06
10,1.33419e+06,1.33261e+06,1.33219e+06
11,1.35158e+06,1.33756e+06,1.33219e+06
12,1.3815e+06,1.36548e+06,1.33219e+06
13,1.34802e+06,1.33938e+06,1.33219e+06
14,1.36016e+06,1.31888e+06,1.31888e+06
15,1.37755e+06,1.36435e+06,1.31888e+06
16,1.5288e+06,1.49072e+06,1.31888e+06
17,1.34937e+06,1.33521e+06,1.31888e+06
18,1.32538e+06,1.31893e+06,1.31888e+06
19,1.39336e+06,1.37724e+06,1.31888e+06
20,1.36906e+06,1.36906e+06,1.31888e+06
21,1.32005e+06,1.30628e+06,1.30628e+06
22,1.35699e+06,1.35283e+06,1.30628e+06
23,1.385e+06,1.37522e+06,1.30628e+06
24,1.3455e+06,1.3236e+06,1.30628e+06
25,1.30832e+06,1.30267e+06,1.30267e+06
26,1.38702e+06,1.35056e+06,1.30267e+06
27,1.37439e+06,1.36572e+06,1.30267e+06
28,1.30389e+06,1.30072e+06,1.30072e+06
29,1.38598e+06,1.38598e+06,1.30072e+06
30,1.77943e+06,1.30581e+06,1.30072e+06
31,1.30876e+06,1.30451e+06,1.30072e+06
32,1.30722e+06,1.30558e+06,1.30072e+06
33,1.37154e+06,1.32578e+06,1.30072e+06
34,1.31938e+06,1.31904e+06,1.30072e+06
35,1.5718e+06,1.56826e+06,1.30072e+06
36,1.41363e+06,1.40863e+06,1.30072e+06
37,1.4051e+06,1.39584e+06,1.30072e+06
38,1.31256e+06,1.31256e+06,1.30072e+06
39,1.42124e+06,1.39655e+06,1.30072e+06
40,1.3133e+06,1.30437e+06,1.30072e+06
41,1.32444e+06,1.32023e+06,1.30072e+06
42,1.46682e+06,1.33507e+06,1.30072e+06
43,1.31731e+06,1.31674e+06,1.30072e+06
44,1.35908e+06,1.33742e+06,1.30072e+06
45,1.32284e+06,1.32228e+06,1.30072e+06
46,1.36916e+06,1.3371e+06,1.30072e+06
47,1.38375e+06,1.38254e+06,1.30072e+06
48,1.3413e+06,1.32937e+06,1.30072e+06
49,1.3791e+06,1.36753e+06,1.30072e+06
50,1.36769e+06,1.35876e+06,1.30072e+06
51,1.2916e+06,1.28743e+06,1.28743e+06
52,1.29196e+06,1.29196e+06,1.28743e+06
53,1.30701e+06,1.30254e+06,1.28743e+06
54,1.2964e+06,1.29607e+06,1.28743e+06
55,1.28739e+06,1.26762e+06,1.26762e+06
56,1.30518e+06,1.30518e+06,1.26762e+06
57,1.62272e+06,1.61459e+06,1.26762e+06
58,1.3317e+06,1.33143e+06,1.26762e+06
59,1.29071e+06,1.28597e+06,1.26762e+06
60,1.44163e+06,1.44114e+06,1.26762e+06
61,1.30378e+06,1.28626e+06,1.26762e+06
62,1.26662e+06,1.26097e+06,1.26097e+06
63,1.35165e+06,1.3433e+06,1.26097e+06
64,1.29632e+06,1.27994e+06,1.26097e+06
65,1.2699e+06,1.26174e+06,1.26097e+06
66,1.28601e+06,1.28477e+06,1.26097e+06
67,1.30734e+06,1.30027e+06,1.26097e+06
68,1.27561e+06,1.27515e+06,1.26097e+06
69,1.28219e+06,1.27358e+06,1.26097e+06
70,1.27875e+06,1.27109e+06,1.26097e+06
71,1.28719e+06,1.28136e+06,1.26097e+06
72,1.3592e+06,1.34929e+06,1.26097e+06
73,1.57234e+06,1.5512e+06,1.26097e+06
