generation,best,avg,worst,std
1,2.48097e+06,3390476.214,4659383.187,459186.312
2,2157549.962,2755778.261,3529787.475,313952.170
3,2034735.412,2357074.197,2884942.538,170808.502
4,2006680.650,2198040.441,2477346.638,124783.335
5,1893305.662,2100037.801,2510195.388,107285.163
6,1892618.625,2012593.072,2258101.675,77498.334
7,1842568.487,1976566.373,2369925.438,121387.201
8,1802175.550,1905334.130,2401697.050,101639.388
9,1757296.887,1855958.252,1972371.600,41991.308
10,1752128.487,1840763.134,2130620.512,80423.505
11,1717222.062,1860029.461,3108225.850,227162.650
12,1733386.275,1797731.241,2102497.150,80968.777
13,1695967.950,1806742.154,3056149.587,207868.570
14,1695967.950,1775901.107,2197307.862,104663.962
15,1694458.113,1777179.706,2288737.988,129096.296
16,1687948.212,1776190.552,2149559.475,113679.904
17,1683080.350,1747248.625,2106374.037,94689.701
18,1683237.400,1734612.252,2020827.413,76719.707
19,1673407.025,1708255.421,1923535.350,42720.246
20,1657695.850,1686968.982,1764391.012,20146.060
21,1653658.500,1721961.692,2129456.662,113968.823
22,1652878.825,1723320.398,2164588.175,121385.920
23,1648395.025,1721566.045,2041606.863,116473.158
24,1648395.025,1669991.149,1815307.400,36775.200
25,1644123.350,1722917.398,2125996.575,130166.848
26,1644283.350,1685451.115,2028290.700,80429.013
27,1643268.212,1663233.165,1870990.350,39691.901
28,1638560.800,1693046.031,2096314.650,104570.768
29,1635974.425,1688334.762,2256906.663,122883.246
30,1635802.300,1724637.188,2247930.850,165419.420
31,1634803.350,1690379.147,2138937.175,109408.516
32,1626202.225,1677669.392,2259301.875,120765.433
33,1627186.238,1687836.230,2157241.187,131686.530
34,1622682.813,1680018.980,2161848.362,126623.505
35,1621954.338,1670515.639,2063829.225,107812.130
36,1621232.925,1652032.991,2073862.275,72730.479
37,1619297.725,1672061.367,2060726.550,104594.954
38,1619035.700,1670230.614,2144432.987,103812.293
39,1618744.288,1730437.190,2056134.300,163354.601
40,1618216.863,1691154.978,3053045.962,229708.073
41,1618216.863,1686831.509,2203421.463,149002.380
42,1617954.838,1669783.531,2069443.163,121981.685
43,1617853.775,1693599.432,2175337.775,156822.257
44,1617853.775,1723743.358,2129773.625,172825.940
45,1617853.775,1705821.466,2056880.950,150007.259
46,1617853.775,1661576.349,2062361.638,100546.790
47,1616631.200,1667478.705,2075370.625,109269.136
48,1617426.425,1679504.384,2113380.050,135739.989
49,1617426.425,1712744.909,2196391.000,160578.967
50,1617426.425,1713851.735,3022760.825,247561.547
51,1617426.425,1674020.776,2066355.425,121516.490
52,1617426.425,1728762.630,2151914.962,162355.495
53,1617426.425,1688725.771,2142460.625,125725.261
54,1617426.425,1696843.512,2315813.750,159825.260
55,1617426.425,1671133.599,2051479.425,117009.023
56,1614801.688,1684469.992,2063894.125,127363.699
57,1614801.688,1685833.481,2142524.150,142676.689
58,1594973.688,1695581.681,2111731.475,148772.122
59,1592285.425,1705445.059,2321634.175,167260.168
60,1602627.825,1738222.062,2954545.087,240516.527
61,1602047.025,1709464.794,2175891.000,161317.570
62,1604624.663,1706409.232,2048190.600,145060.813
63,1603333.913,1680159.751,2120803.938,137452.969
64,1595840.900,1690597.589,2129149.913,151655.279
65,1595926.475,1662220.396,2190445.987,141998.878
66,1596373.375,1654369.152,2051177.200,113446.204
67,1595097.038,1717142.332,2040732.925,166984.674
68,1592285.425,1687757.049,2099064.288,131129.348
69,1592005.050,1669685.082,2034621.163,130921.269
70,1593064.238,1669212.262,2023229.950,128693.400
71,1592005.050,1639617.723,2023242.525,79308.096
72,1593064.238,1684589.521,2063208.825,137376.173
73,1592756.325,1658457.160,2027518.238,116990.063
74,1593721.913,1667127.934,2025384.438,118829.004
75,1589686.650,1658649.663,2048532.613,130622.141
76,1593705.863,1651117.153,2020390.000,119521.023
77,1593705.863,1689775.062,2111612.550,149032.816
78,1593072.263,1686333.129,2044145.250,139845.570
79,1594037.850,1672423.801,2126572.050,129047.553
80,1593072.263,1683173.946,2097569.988,156505.573
81,1592555.050,1643212.334,2035126.013,90708.137
82,1591921.450,1627450.640,2025842.538,92112.652
83,1591549.775,1644282.587,2042744.450,100413.289
84,1590525.938,1655259.071,2023317.663,123902.977
85,1590647.275,1663029.708,2092461.550,137268.529
86,1590998.713,1661125.310,2086805.213,132872.336
87,1591699.050,1649486.627,2028208.000,111856.187
88,1592229.888,1636690.798,2043518.888,112367.332
89,1591142.638,1656367.627,2041429.038,125919.871
90,1590373.225,1650619.690,2008248.963,98516.912
91,1591142.638,1681261.765,2173216.162,155238.369
92,1590998.713,1674618.001,2076250.275,137951.479
93,1590998.713,1664668.664,2012489.138,116059.470
94,1590998.713,1615471.968,1934341.788,53835.143
95,1590998.713,1683423.739,2021138.913,156990.585
96,1590998.713,1641515.974,2019126.313,94419.168
97,1590776.313,1688079.347,2872856.887,232089.269
98,1587194.425,1662179.787,2064268.113,139425.958
99,1587134.613,1652387.281,2183225.625,128427.825
100,1587357.013,1776308.432,2564303.463,237546.715
101,1587357.013,1691308.499,2093898.213,172780.924
102,1587357.013,1628354.064,2286278.113,115715.349
103,1587357.013,1687607.398,2136430.200,172053.314
104,1587357.013,1700049.231,2861151.613,238586.679
105,1587357.013,1619053.583,2031840.663,73192.086
106,1587357.013,1657263.551,2087295.688,138671.555
107,1587357.013,1661859.712,2044396.788,118613.993
108,1587357.013,1658805.873,2041229.413,123318.284
109,1587357.013,1690350.182,2286198.088,182197.401
110,1587357.013,1679595.592,2191110.138,180145.545
111,1587357.013,1642213.670,2050084.213,95742.663
112,1587357.013,1645557.714,2037928.813,113109.177
113,1587357.013,1670171.714,2093260.213,150346.476
114,1587357.013,1694040.773,2041229.413,153078.304
115,1587357.013,1680721.976,2111923.288,150728.085
116,1587357.013,1649620.147,2018231.138,115618.475
117,1587357.013,1699519.173,2053909.850,154442.680
118,1587357.013,1662774.770,2113147.400,126948.637
119,1587357.013,1656949.038,2023451.638,124591.095
120,1587357.013,1662166.849,2057439.500,126727.532
121,1587357.013,1635889.698,2321950.550,131089.879
122,1584311.650,1624921.316,2039879.413,73909.342
123,1587357.013,1670284.277,2112391.212,146246.606
124,1587357.013,1644362.421,2050596.938,121867.778
125,1587357.013,1661336.466,2191169.950,145894.579
126,1587134.613,1642500.734,2023765.100,109724.213
127,1587134.613,1709809.584,2054912.188,175481.436
128,1587357.013,1633026.228,2020175.175,99018.091
129,1587357.013,1645880.599,2045576.313,106241.243
130,1587357.013,1634508.055,1939270.550,84516.972
131,1587357.013,1679468.893,2044080.200,150894.603
132,1585098.425,1645667.663,2041376.288,110952.560
133,1587357.013,1655622.785,2842224.350,199994.962
134,1587357.013,1632391.216,2046760.813,98523.785
135,1587357.013,1650650.045,2835327.613,201093.454
136,1587357.013,1655983.922,2111923.288,129486.687
137,1587357.013,1677335.583,2045539.463,149010.425
138,1587357.013,1649357.248,2093260.213,112795.407
139,1587357.013,1664489.617,2053306.138,144144.119
140,1587357.013,1660577.573,2842020.613,212918.042
141,1587357.013,1690980.585,2054035.225,162341.521
142,1587357.013,1668011.557,2043118.650,141894.500
143,1587357.013,1634046.652,2039102.250,98618.062
144,1587357.013,1680747.169,2861151.613,231593.318
145,1587357.013,1640833.990,2041319.450,111645.924
146,1587357.013,1644062.091,2043555.313,125217.079
147,1587134.613,1613891.018,2040520.663,72643.749
148,1587134.613,1683736.643,2178295.738,163428.978
149,1587134.613,1641320.055,2093037.813,122187.310
150,1587134.613,1634847.192,2045983.963,91818.982
151,1587134.613,1682030.487,2860929.212,220576.022
152,1587134.613,1674023.659,2095242.413,142706.135
153,1587134.613,1659571.020,2114916.863,139468.926
154,1587134.613,1628523.172,2037328.425,87334.929
155,1587134.613,1661633.386,2285458.413,158411.198
156,1587134.613,1631322.510,2042734.963,102828.143
157,1587134.613,1636034.587,2093037.813,93669.858
158,1587134.613,1615804.830,1823400.550,45350.252
159,1587134.613,1646526.765,2079909.213,111009.975
160,1587134.613,1650674.081,2045734.675,124451.933
161,1587134.613,1636986.333,2036608.913,93395.787
162,1587134.613,1657235.575,2052135.938,124295.104
163,1587134.613,1659628.596,2096010.363,142891.263
164,1587134.613,1676364.791,2031448.975,129013.087
165,1587134.613,1638926.861,2009432.613,99022.598
166,1587134.613,1626294.992,2012412.150,83288.989
167,1587134.613,1632241.173,2031757.675,88008.972
168,1587134.613,1647823.502,2152076.437,132106.030
169,1587134.613,1667886.250,2050137.213,154720.137
170,1587134.613,1685953.565,2054644.238,164529.508
171,1587134.613,1653272.033,2118101.013,137842.055
172,1587134.613,1623937.984,1810931.550,59348.565
173,1587134.613,1669116.513,2053829.613,139447.593
174,1587134.613,1662477.254,2055396.113,145805.271
175,1587134.613,1660770.317,2043797.988,131898.093
176,1587134.613,1653316.205,2230701.013,136835.001
177,1587134.613,1633977.699,2002739.613,82402.092
178,1587134.613,1643667.046,2053310.125,108202.152
179,1587134.613,1681706.209,2152076.437,173877.944
180,1587134.613,1635910.265,2009432.613,95737.206
181,1587134.613,1655056.267,2047227.938,146779.380
182,1587134.613,1657319.257,2111700.888,143151.604
183,1587134.613,1647955.304,2093037.813,132595.282
184,1587134.613,1658417.863,2112168.812,121267.154
185,1587134.613,1702104.791,2841798.212,280300.605
186,1587134.613,1674467.392,2068244.313,137504.981
187,1587134.613,1628710.957,2167730.100,108251.200
188,1587134.613,1636884.851,2039657.013,100171.443
189,1587134.613,1629382.533,1874184.288,70276.085
190,1587134.613,1649363.398,2052083.738,133704.673
191,1587134.613,1634484.126,2054644.238,100043.733
192,1587134.613,1629310.857,2096434.675,89893.094
193,1587134.613,1650707.732,2112168.812,134214.452
194,1587134.613,1630762.891,2028563.613,83966.676
195,1587134.613,1653627.257,2041065.738,124216.553
196,1587134.613,1656914.629,2080204.100,132168.088
197,1587134.613,1615052.415,2004770.788,73446.594
198,1587134.613,1635027.308,2041153.888,108958.347
199,1587134.613,1647190.902,2086344.813,136872.756
200,1587134.613,1704166.702,2860929.212,237295.341
201,1587134.613,1663938.632,2037281.313,113019.595
202,1587134.613,1687425.780,2285458.413,161812.173
203,1587134.613,1615444.743,1823893.250,47513.714
204,1587134.613,1655661.259,2037892.038,119071.032
205,1587134.613,1634151.450,2057608.425,113929.957
206,1587134.613,1637239.772,2111700.888,116411.616
207,1587134.613,1684392.341,2206382.263,161926.677
208,1587134.613,1632009.801,2040298.263,81256.832
209,1587134.613,1642294.698,2118101.013,116286.761
210,1587134.613,1615280.610,2042896.250,78957.106
211,1587134.613,1631107.657,2043797.988,112405.016
212,1587134.613,1635944.572,2043310.413,87086.974
213,1587134.613,1685168.513,2093037.813,172542.797
214,1584533.888,1644191.454,2081554.463,123523.274
215,1584533.888,1645181.848,2061333.500,117579.818
216,1573167.725,1661102.408,2112168.812,144801.752
217,1584661.000,1672865.698,2035008.663,132994.596
218,1571248.063,1644027.562,2038255.475,104042.720
219,1571495.688,1684790.967,2219826.638,172448.187
220,1571809.600,1633108.688,2062280.413,121914.470
221,1571495.688,1608876.450,2010392.925,72931.169
222,1571495.688,1646149.851,2025824.450,128760.871
223,1571495.688,1640475.743,2175615.138,129097.134
224,1571495.688,1640143.533,2024898.650,126695.115
225,1571495.688,1606507.170,1982527.875,76805.425
226,1571495.688,1651108.875,2175562.725,143492.273
227,1571495.688,1660626.726,2825048.488,215047.614
228,1571639.613,1657960.142,2035424.388,151464.774
229,1571495.688,1619979.751,2026050.663,94174.469
230,1571495.688,1639013.437,2034405.938,132949.903
