iteration,shaken,after_local_search,best
1,3.14035e+06,2.84987e+06,2.84987e+06
2,2.58285e+06,2.56035e+06,2.56035e+06
3,2.60802e+06,2.57827e+06,2.56035e+06
4,2.55715e+06,2.48961e+06,2.48961e+06
5,2.50727e+06,2.50165e+06,2.48961e+06
6,2.70428e+06,2.40204e+06,2.40204e+06
7,2.39548e+06,2.37293e+06,2.37293e+06
8,2.53533e+06,2.4961e+06,2.37293e+06
9,2.38051e+06,2.37277e+06,2.37277e+06
10,2.39219e+06,2.32866e+06,2.32866e+06
11,2.34416e+06,2.17111e+06,2.17111e+06
12,2.17123e+06,2.14337e+06,2.14337e+06
13,2.14985e+06,2.11103e+06,2.11103e+06
14,2.12678e+06,2.10757e+06,2.10757e+06
15,2.11894e+06,2.11894e+06,2.10757e+06
16,2.59889e+06,2.51922e+06,2.10757e+06
17,2.22643e+06,2.22411e+06,2.10757e+06
18,2.28908e+06,2.26302e+06,2.10757e+06
19,2.55248e+06,2.51739e+06,2.10757e+06
20,2.13014e+06,2.09907e+06,2.09907e+06
21,2.08873e+06,2.08115e+06,2.08115e+06
22,2.09238e+06,2.08248e+06,2.08115e+06
23,2.11313e+06,2.0889e+06,2.08115e+06
24,2.13849e+06,2.10999e+06,2.08115e+06
25,2.10249e+06,2.08854e+06,2.08115e+06
26,2.09552e+06,2.09283e+06,2.08115e+06
27,2.29261e+06,2.11844e+06,2.08115e+06
28,2.08373e+06,2.04173e+06,2.04173e+06
29,2.03451e+06,2.03181e+06,2.03181e+06
30,2.0837e+06,2.05335e+06,2.03181e+06
31,2.15235e+06,2.05164e+06,2.03181e+06
32,2.03277e+06,2.02805e+06,2.02805e+06
33,2.35431e+06,2.35286e+06,2.02805e+06
34,2.16574e+06,1.79837e+06,1.79837e+06
35,1.82308e+06,1.64454e+06,1.64454e+06
36,1.64528e+06,1.64528e+06,1.64454e+06
37,1.99293e+06,1.9914e+06,1.64454e+06
38,1.67154e+06,1.64259e+06,1.64259e+06
39,1.7008e+06,1.7008e+06,1.64259e+06
40,1.64216e+06,1.64066e+06,1.64066e+06
41,1.66456e+06,1.66456e+06,1.64066e+06
42,1.64484e+06,1.64334e+06,1.64066e+06
43,2.01111e+06,1.95291e+06,1.64066e+06
44,1.67082e+06,1.66659e+06,1.64066e+06
45,1.65762e+06,1.6556e+06,1.64066e+06
46,1.72216e+06,1.70839e+06,1.64066e+06
47,1.64833e+06,1.64766e+06,1.64066e+06
48,1.92796e+06,1.92605e+06,1.64066e+06
49,1.87164e+06,1.86992e+06,1.64066e+06
50,1.68796e+06,1.68677e+06,1.64066e+06
51,1.91216e+06,1.6685e+06,1.64066e+06
52,1.68756e+06,1.68667e+06,1.64066e+06
53,2.04338e+06,1.98295e+06,1.64066e+06
54,2.00051e+06,1.9763e+06,1.64066e+06
55,2.22979e+06,2.18355e+06,1.64066e+06
56,1.64778e+06,1.64594e+06,1.64066e+06
57,1.66877e+06,1.66842e+06,1.64066e+06
58,1.89919e+06,1.88537e+06,1.64066e+06
59,1.64831e+06,1.64198e+06,1.64066e+06
60,1.65531e+06,1.65313e+06,1.64066e+06
61,1.6549e+06,1.6477e+06,1.64066e+06
62,1.65468e+06,1.65017e+06,1.64066e+06
63,1.72762e+06,1.70909e+06,1.64066e+06
64,2.10333e+06,2.04671e+06,1.64066e+06
65,1.77954e+06,1.77954e+06,1.64066e+06
66,1.64753e+06,1.64393e+06,1.64066e+06
67,1.6367e+06,1.6367e+06,1.6367e+06
68,1.6791e+06,1.678e+06,1.6367e+06
69,2.13767e+06,2.04691e+06,1.6367e+06
70,2.06078e+06,2.00274e+06,1.6367e+06
71,1.66347e+06,1.65126e+06,1.6367e+06
72,1.76163e+06,1.71358e+06,1.6367e+06
73,1.68377e+06,1.67262e+06,1.6367e+06
74,1.71483e+06,1.71332e+06,1.6367e+06
75,2.08964e+06,2.07737e+06,1.6367e+06
76,1.6895e+06,1.6895e+06,1.6367e+06
77,1.63898e+06,1.63883e+06,1.6367e+06
78,1.73455e+06,1.73455e+06,1.6367e+06
79,2.28513e+06,2.26688e+06,1.6367e+06
80,1.66366e+06,1.66366e+06,1.6367e+06
81,2.11134e+06,2.05086e+06,1.6367e+06
82,1.76499e+06,1.72518e+06,1.6367e+06
83,1.65073e+06,1.65054e+06,1.6367e+06
84,1.86534e+06,1.85858e+06,1.6367e+06
85,1.67106e+06,1.67106e+06,1.6367e+06
86,1.64413e+06,1.644e+06,1.6367e+06
87,1.76968e+06,1.74764e+06,1.6367e+06
88,1.68416e+06,1.68416e+06,1.6367e+06
89,1.64473e+06,1.64011e+06,1.6367e+06
90,1.63995e+06,1.6398e+06,1.6367e+06
91,2.10028e+06,2.0541e+06,1.6367e+06
92,2.02903e+06,2.00441e+06,1.6367e+06
93,2.08831e+06,2.08276e+06,1.6367e+06
94,1.63775e+06,1.63775e+06,1.6367e+06
