generation,best,avg,worst,std
1,2.87225e+06,4198811.441,5436015.812,564433.693
2,2568179.475,3296733.110,4185346.975,347771.422
3,2107755.950,2776323.104,3378042.962,247652.302
4,2090405.250,2423900.970,2943540.075,173144.995
5,1940996.437,2205384.262,2779774.550,139485.179
6,1853558.650,2071054.165,2923962.750,136674.761
7,1695137.487,1940351.811,2636452.750,126158.472
8,1628063.600,1836779.360,2294693.975,105754.193
9,1541626.000,1755866.834,2680376.812,166096.719
10,1499621.888,1645181.349,1902415.038,75673.748
11,1452772.713,1581940.717,2401537.575,105532.323
12,1429546.288,1557262.455,2428959.987,155158.820
13,1406723.413,1513492.333,2470187.275,175918.218
14,1389596.813,1455863.184,2709281.825,134429.624
15,1366173.763,1456860.449,2686012.263,200843.076
16,1357395.863,1409421.487,1644448.788,49852.593
17,1344115.613,1413087.101,2290554.237,158142.032
18,1327680.988,1382857.866,2405805.862,112735.796
19,1317120.838,1371299.869,2099426.237,98324.803
20,1311580.738,1352627.789,1809055.688,58850.068
21,1300285.000,1339438.729,1501784.475,32340.835
22,1293278.613,1341110.428,1969236.013,78085.746
23,1293033.563,1318896.269,1478194.788,28285.407
24,1284303.625,1326590.854,1824915.550,77039.742
25,1276808.125,1338529.646,2373081.638,136058.368
26,1279733.063,1327062.766,1950683.225,104082.158
27,1273761.688,1327928.580,2233110.287,142161.173
28,1265226.150,1322214.297,2079525.825,108818.694
29,1258988.163,1310756.193,2122098.750,120628.668
30,1247277.313,1314734.580,2519888.000,147573.727
31,1249339.213,1279834.237,1670472.363,48488.285
32,1244949.775,1290593.096,2291766.025,117356.691
33,1244949.775,1295094.058,1741157.388,102022.567
34,1239759.213,1273126.370,2506985.725,129039.374
35,1233081.788,1272479.169,2228493.212,108166.172
36,1232346.163,1278878.435,2422464.000,137921.102
37,1229124.663,1262541.078,1748866.788,88102.940
38,1227808.088,1290461.734,2486575.587,216892.549
39,1226370.863,1262683.015,2452822.825,136029.869
40,1222641.225,1250075.552,1646197.663,56388.397
41,1222124.638,1259281.705,2414406.625,129277.476
42,1220692.200,1268676.209,2299383.462,147102.799
43,1220119.400,1237230.680,1490592.837,37888.538
44,1218792.950,1254708.446,1729909.200,79678.220
45,1217307.463,1250780.864,1891886.163,77587.871
46,1216787.713,1253349.932,2167910.400,117604.030
47,1214922.913,1236638.869,1690764.900,57174.757
48,1214381.463,1256063.842,1676056.463,92658.836
49,1214308.163,1244516.793,1851649.513,80709.377
50,1214308.163,1243501.922,1574298.013,59205.173
51,1211175.463,1258960.110,2472738.663,180656.997
52,1210634.013,1234442.207,1592778.663,48462.922
53,1210560.713,1258267.012,1712825.013,101132.449
