iteration,shaken,after_local_search,best
1,3.18826e+06,3.04754e+06,3.04754e+06
2,3.29164e+06,2.7999e+06,2.7999e+06
3,2.82571e+06,2.45665e+06,2.45665e+06
4,2.45108e+06,2.36421e+06,2.36421e+06
5,2.43793e+06,2.29527e+06,2.29527e+06
6,2.29999e+06,2.25283e+06,2.25283e+06
7,2.28158e+06,2.27496e+06,2.25283e+06
8,2.25982e+06,2.22301e+06,2.22301e+06
9,2.24904e+06,2.24882e+06,2.22301e+06
10,2.42752e+06,2.3776e+06,2.22301e+06
11,2.24042e+06,2.2282e+06,2.22301e+06
12,2.23481e+06,2.06012e+06,2.06012e+06
13,2.06578e+06,2.05515e+06,2.05515e+06
14,2.06625e+06,1.95986e+06,1.95986e+06
15,1.96477e+06,1.96471e+06,1.95986e+06
16,2.01804e+06,2.00625e+06,1.95986e+06
17,1.96907e+06,1.95285e+06,1.95285e+06
18,1.96757e+06,1.91638e+06,1.91638e+06
19,1.96668e+06,1.95479e+06,1.91638e+06
20,1.91582e+06,1.89335e+06,1.89335e+06
21,1.89527e+06,1.8889e+06,1.8889e+06
22,1.9328e+06,1.8825e+06,1.8825e+06
23,2.01512e+06,2.01136e+06,1.8825e+06
24,1.88446e+06,1.8783e+06,1.8783e+06
25,1.90846e+06,1.88355e+06,1.8783e+06
26,1.88209e+06,1.88182e+06,1.8783e+06
27,1.88553e+06,1.88446e+06,1.8783e+06
28,2.01176e+06,1.94194e+06,1.8783e+06
29,1.8818e+06,1.87442e+06,1.87442e+06
30,1.95749e+06,1.85934e+06,1.85934e+06
31,1.87909e+06,1.87818e+06,1.85934e+06
32,1.88942e+06,1.82406e+06,1.82406e+06
33,1.82376e+06,1.80674e+06,1.80674e+06
34,1.8337e+06,1.8337e+06,1.80674e+06
35,2.07168e+06,2.01849e+06,1.80674e+06
36,2.07064e+06,2.06371e+06,1.80674e+06
37,1.83117e+06,1.68823e+06,1.68823e+06
38,1.69816e+06,1.69475e+06,1.68823e+06
39,2.1175e+06,2.06995e+06,1.68823e+06
40,1.98133e+06,1.97103e+06,1.68823e+06
41,1.72544e+06,1.71541e+06,1.68823e+06
42,1.89279e+06,1.8893e+06,1.68823e+06
43,1.73211e+06,1.70974e+06,1.68823e+06
44,2.11794e+06,2.11708e+06,1.68823e+06
45,1.95684e+06,1.95049e+06,1.68823e+06
46,1.68731e+06,1.6772e+06,1.6772e+06
47,1.6793e+06,1.67537e+06,1.67537e+06
48,1.71426e+06,1.70109e+06,1.67537e+06
49,1.80533e+06,1.79695e+06,1.67537e+06
50,1.69595e+06,1.66555e+06,1.66555e+06
51,1.68647e+06,1.68619e+06,1.66555e+06
52,1.87341e+06,1.84162e+06,1.66555e+06
53,2.20793e+06,2.15501e+06,1.66555e+06
54,1.70039e+06,1.69697e+06,1.66555e+06
55,1.75039e+06,1.75039e+06,1.66555e+06
56,2.24587e+06,2.16794e+06,1.66555e+06
57,1.67569e+06,1.67569e+06,1.66555e+06
58,1.92511e+06,1.84923e+06,1.66555e+06
59,2.14625e+06,2.03499e+06,1.66555e+06
60,1.76208e+06,1.76208e+06,1.66555e+06
61,1.67119e+06,1.65564e+06,1.65564e+06
62,1.66579e+06,1.66537e+06,1.65564e+06
63,1.69483e+06,1.69054e+06,1.65564e+06
64,2.25079e+06,2.24064e+06,1.65564e+06
65,1.8666e+06,1.8509e+06,1.65564e+06
66,1.82341e+06,1.80468e+06,1.65564e+06
67,1.69849e+06,1.69794e+06,1.65564e+06
68,1.67269e+06,1.67229e+06,1.65564e+06
69,1.66448e+06,1.66405e+06,1.65564e+06
70,1.76069e+06,1.75553e+06,1.65564e+06
71,1.69361e+06,1.68335e+06,1.65564e+06
72,1.65878e+06,1.65482e+06,1.65482e+06
73,1.67225e+06,1.67225e+06,1.65482e+06
74,1.82245e+06,1.79894e+06,1.65482e+06
75,1.68984e+06,1.68544e+06,1.65482e+06
76,1.69162e+06,1.69162e+06,1.65482e+06
77,1.65446e+06,1.65386e+06,1.65386e+06
