config_id,pop_size,gen,tour_size,mutation_pro,cross_pro,bias,best,avg,std,time_ms
62,10,326,10,0.2748,0.5355,0.4984,1600451.3000,1685967.3375,70201.1335,9
63,82,77,14,0.4042,0.6878,0.3470,1586578.1750,1597700.3167,10154.5107,21
64,49,368,11,0.3953,0.5775,0.7909,1572639.3375,1598323.1000,18348.7513,44
65,36,512,10,0.1275,0.5187,0.7113,1600857.8250,1636621.3375,25318.9839,39
66,37,248,9,0.3940,0.9139,0.4358,1573741.5750,1605682.0333,25762.7454,34
67,29,581,10,0.1768,0.5258,0.5657,1585596.4125,1609277.7833,18498.3130,42
68,47,347,11,0.2245,0.5664,0.7848,1617157.3375,1618173.8000,944.2017,36
69,56,443,6,0.8157,0.6354,0.5195,1567163.2625,1570445.3083,4341.6470,86
70,77,93,5,0.2659,0.5404,0.5142,1586425.7250,1618421.8792,22630.7389,21
71,73,429,7,0.2560,0.5782,0.4251,1565339.2000,1574209.4417,8092.8263,85
72,31,352,3,0.2646,0.9673,0.6191,1577622.8750,1592910.6500,21305.4201,37
73,96,334,12,0.5989,0.8059,0.5098,1565339.2000,1566728.3625,1399.1391,121
74,14,186,9,0.2428,0.5601,0.4709,1627970.4125,1672557.1042,42430.1196,8
75,20,100,2,0.1367,0.9277,0.6518,1667924.2125,1723591.9833,43013.5037,6
76,25,311,2,0.7870,0.9035,0.4732,1586169.1375,1599179.2667,13545.9078,36
77,25,306,8,0.4587,0.8079,0.6175,1573267.5875,1593424.0958,18241.8068,25
78,90,74,5,0.1138,0.9667,0.5505,1570744.5250,1592721.0500,27185.5119,26
79,87,347,11,0.2466,0.5353,0.6212,1567163.2625,1598916.4000,35243.9458,78
80,95,64,14,0.6728,0.9005,0.6386,1587790.4125,1592067.2667,3208.9061,25
81,45,365,11,0.5124,0.7728,0.7707,1562183.3625,1589119.2000,19190.2975,48
82,66,262,13,0.6863,0.6033,0.4370,1565339.2000,1571237.1208,7738.3839,59
83,16,168,3,0.1164,0.5472,0.6415,1670143.8375,1811530.4958,113573.2758,6
84,40,89,11,0.4469,0.8408,0.4703,1578082.1750,1588284.4167,14091.7921,14
85,84,193,5,0.2063,0.8484,0.6145,1567565.7500,1581995.2667,10249.7159,51
86,95,533,2,0.4762,0.9838,0.5740,1564077.2875,1570389.0542,4574.2882,201
87,26,283,12,0.8262,0.9953,0.5063,1597692.7500,1599517.8792,1319.9153,33
88,21,254,5,0.6225,0.9336,0.5809,1599816.1250,1606146.9875,6864.9973,21
89,88,181,8,0.7758,0.8773,0.3516,1565680.3500,1592469.5792,19670.7706,62
90,44,547,9,0.5469,0.6948,0.4488,1564836.0625,1579403.0167,10477.6717,80
91,91,105,7,0.1098,0.9527,0.3456,1578368.3500,1614107.8875,32329.2053,33
92,42,225,15,0.7091,0.7413,0.5465,1586890.5875,1592183.1250,3745.2845,36
93,67,95,8,0.3639,0.6643,0.6363,1569011.9750,1585647.2000,12571.5029,20
94,29,464,15,0.8032,0.5567,0.7655,1563242.3500,1567539.7000,3420.8005,39
95,54,586,2,0.5946,0.7208,0.7439,1567693.9625,1572705.2958,3707.6370,88
96,59,243,11,0.9718,0.8440,0.7185,1567565.7500,1570815.2667,3763.6494,52
97,66,527,3,0.1757,0.8505,0.3364,1579841.9250,1605961.0333,19776.3497,100
98,46,502,14,0.2319,0.7567,0.4166,1581388.6250,1594257.5875,10034.1804,71
99,99,370,7,0.4336,0.9064,0.7736,1568207.1500,1572921.0583,5284.8269,108
100,92,593,10,0.4152,0.8541,0.5408,1566189.8750,1570045.2542,4645.8529,196
