method,config,instance,avg_best8,best8,worst8,std8
GRASP,"iter=40;rcl=3;ls=520",cap41_ss,1.63849e+06,1.6197e+06,1.65228e+06,9894.19
GRASP,"iter=40;rcl=3;ls=520",cap81_ss,1.23433e+06,1.22294e+06,1.25331e+06,10050.5
GRASP,"iter=40;rcl=3;ls=520",cap111_ss,1.23686e+06,1.22806e+06,1.24925e+06,7318.55
GRASP,"iter=40;rcl=4;ls=520",cap41_ss,1.65442e+06,1.62461e+06,1.68555e+06,17407
GRASP,"iter=40;rcl=4;ls=520",cap81_ss,1.24778e+06,1.23734e+06,1.26679e+06,8944.82
GRASP,"iter=40;rcl=4;ls=520",cap111_ss,1.24916e+06,1.23148e+06,1.2641e+06,10454
GRASP,"iter=40;rcl=5;ls=520",cap41_ss,1.66568e+06,1.64429e+06,1.69222e+06,13553.6
GRASP,"iter=40;rcl=5;ls=520",cap81_ss,1.24703e+06,1.22712e+06,1.2752e+06,16714.3
GRASP,"iter=40;rcl=5;ls=520",cap111_ss,1.26893e+06,1.25744e+06,1.27399e+06,4821.08
GRASP,"iter=40;rcl=6;ls=520",cap41_ss,1.66876e+06,1.63128e+06,1.69142e+06,23387.2
GRASP,"iter=40;rcl=6;ls=520",cap81_ss,1.26987e+06,1.24581e+06,1.28316e+06,11832.2
GRASP,"iter=40;rcl=6;ls=520",cap111_ss,1.28308e+06,1.27031e+06,1.3175e+06,14322.2
GRASP,"iter=50;rcl=2;ls=360",cap41_ss,1.62752e+06,1.60912e+06,1.64016e+06,8847.12
GRASP,"iter=50;rcl=2;ls=360",cap81_ss,1.22099e+06,1.2101e+06,1.23343e+06,7412.44
GRASP,"iter=50;rcl=2;ls=360",cap111_ss,1.20881e+06,1.1974e+06,1.22222e+06,7228.83
GRASP,"iter=50;rcl=3;ls=360",cap41_ss,1.64281e+06,1.60517e+06,1.66689e+06,17777.1
GRASP,"iter=50;rcl=3;ls=360",cap81_ss,1.23063e+06,1.20887e+06,1.24409e+06,10280.7
GRASP,"iter=50;rcl=3;ls=360",cap111_ss,1.23611e+06,1.22226e+06,1.25332e+06,10657.5
GRASP,"iter=50;rcl=4;ls=360",cap41_ss,1.67153e+06,1.63581e+06,1.70996e+06,24979.6
GRASP,"iter=50;rcl=4;ls=360",cap81_ss,1.26068e+06,1.22772e+06,1.2827e+06,19455.5
GRASP,"iter=50;rcl=4;ls=360",cap111_ss,1.2643e+06,1.24832e+06,1.28667e+06,10877.5
GRASP,"iter=50;rcl=5;ls=360",cap41_ss,1.68945e+06,1.66677e+06,1.71585e+06,14139.8
GRASP,"iter=50;rcl=5;ls=360",cap81_ss,1.27318e+06,1.23467e+06,1.30407e+06,21154.4
GRASP,"iter=50;rcl=5;ls=360",cap111_ss,1.28879e+06,1.26075e+06,1.3131e+06,14073.4
GRASP,"iter=50;rcl=6;ls=360",cap41_ss,1.68688e+06,1.63379e+06,1.72284e+06,28731.6
GRASP,"iter=50;rcl=6;ls=360",cap81_ss,1.28369e+06,1.25584e+06,1.32263e+06,19475.6
GRASP,"iter=50;rcl=6;ls=360",cap111_ss,1.29476e+06,1.27587e+06,1.31459e+06,12971.5
GRASP,"iter=50;rcl=2;ls=380",cap41_ss,1.62368e+06,1.60124e+06,1.64038e+06,12883.8
GRASP,"iter=50;rcl=2;ls=380",cap81_ss,1.21571e+06,1.21277e+06,1.22114e+06,2598.92
GRASP,"iter=50;rcl=2;ls=380",cap111_ss,1.20891e+06,1.20097e+06,1.21593e+06,5036.78
GRASP,"iter=50;rcl=3;ls=380",cap41_ss,1.64474e+06,1.624e+06,1.6688e+06,16990.3
GRASP,"iter=50;rcl=3;ls=380",cap81_ss,1.23629e+06,1.2224e+06,1.24915e+06,9868.07
GRASP,"iter=50;rcl=3;ls=380",cap111_ss,1.24241e+06,1.21071e+06,1.25993e+06,15430.1
GRASP,"iter=50;rcl=4;ls=380",cap41_ss,1.66308e+06,1.64479e+06,1.69231e+06,14044.4
GRASP,"iter=50;rcl=4;ls=380",cap81_ss,1.24717e+06,1.21783e+06,1.26356e+06,17007.8
GRASP,"iter=50;rcl=4;ls=380",cap111_ss,1.26255e+06,1.24949e+06,1.27766e+06,9702.36
GRASP,"iter=50;rcl=5;ls=380",cap41_ss,1.6784e+06,1.62712e+06,1.71214e+06,29278.1
GRASP,"iter=50;rcl=5;ls=380",cap81_ss,1.2609e+06,1.24697e+06,1.28825e+06,12083.2
GRASP,"iter=50;rcl=5;ls=380",cap111_ss,1.27988e+06,1.25382e+06,1.29786e+06,13970
GRASP,"iter=50;rcl=6;ls=380",cap41_ss,1.67981e+06,1.6367e+06,1.70314e+06,21290.5
GRASP,"iter=50;rcl=6;ls=380",cap81_ss,1.28311e+06,1.25051e+06,1.3196e+06,18791.2
GRASP,"iter=50;rcl=6;ls=380",cap111_ss,1.29698e+06,1.28008e+06,1.33315e+06,16415.9
GRASP,"iter=50;rcl=2;ls=400",cap41_ss,1.62937e+06,1.61694e+06,1.6455e+06,9733.27
GRASP,"iter=50;rcl=2;ls=400",cap81_ss,1.21201e+06,1.20753e+06,1.21828e+06,3987.75
GRASP,"iter=50;rcl=2;ls=400",cap111_ss,1.20706e+06,1.19402e+06,1.21285e+06,6351.66
GRASP,"iter=50;rcl=3;ls=400",cap41_ss,1.63904e+06,1.61063e+06,1.66018e+06,16280.4
GRASP,"iter=50;rcl=3;ls=400",cap81_ss,1.2321e+06,1.22248e+06,1.24105e+06,5564.19
GRASP,"iter=50;rcl=3;ls=400",cap111_ss,1.23042e+06,1.20674e+06,1.25475e+06,12846.6
GRASP,"iter=50;rcl=4;ls=400",cap41_ss,1.6663e+06,1.64413e+06,1.69363e+06,17439.5
GRASP,"iter=50;rcl=4;ls=400",cap81_ss,1.25543e+06,1.23767e+06,1.26834e+06,9762.68
GRASP,"iter=50;rcl=4;ls=400",cap111_ss,1.25746e+06,1.23117e+06,1.27283e+06,14386.7
GRASP,"iter=50;rcl=5;ls=400",cap41_ss,1.6747e+06,1.64387e+06,1.71564e+06,21013.2
GRASP,"iter=50;rcl=5;ls=400",cap81_ss,1.26486e+06,1.23088e+06,1.30197e+06,23775.7
GRASP,"iter=50;rcl=5;ls=400",cap111_ss,1.28649e+06,1.25604e+06,1.31016e+06,15554.5
GRASP,"iter=50;rcl=6;ls=400",cap41_ss,1.67911e+06,1.66019e+06,1.69403e+06,12693.5
GRASP,"iter=50;rcl=6;ls=400",cap81_ss,1.27708e+06,1.25377e+06,1.31785e+06,20460.7
GRASP,"iter=50;rcl=6;ls=400",cap111_ss,1.30299e+06,1.27472e+06,1.31955e+06,14207.4
GRASP,"iter=50;rcl=2;ls=420",cap41_ss,1.61526e+06,1.5961e+06,1.62585e+06,10060.5
GRASP,"iter=50;rcl=2;ls=420",cap81_ss,1.21649e+06,1.2049e+06,1.22714e+06,7566.99
GRASP,"iter=50;rcl=2;ls=420",cap111_ss,1.21108e+06,1.1986e+06,1.22204e+06,7296.61
GRASP,"iter=50;rcl=3;ls=420",cap41_ss,1.63825e+06,1.60858e+06,1.65532e+06,14087.3
GRASP,"iter=50;rcl=3;ls=420",cap81_ss,1.22447e+06,1.21253e+06,1.24926e+06,12504.7
GRASP,"iter=50;rcl=3;ls=420",cap111_ss,1.23711e+06,1.22708e+06,1.25105e+06,7997.33
GRASP,"iter=50;rcl=4;ls=420",cap41_ss,1.65665e+06,1.64092e+06,1.68018e+06,12694.1
GRASP,"iter=50;rcl=4;ls=420",cap81_ss,1.24818e+06,1.23546e+06,1.2597e+06,8662.89
GRASP,"iter=50;rcl=4;ls=420",cap111_ss,1.2613e+06,1.24537e+06,1.27398e+06,8366.29
GRASP,"iter=50;rcl=5;ls=420",cap41_ss,1.65891e+06,1.62342e+06,1.69182e+06,20623.1
GRASP,"iter=50;rcl=5;ls=420",cap81_ss,1.25934e+06,1.22596e+06,1.28574e+06,17937.9
GRASP,"iter=50;rcl=5;ls=420",cap111_ss,1.26916e+06,1.24944e+06,1.28255e+06,11648.2
GRASP,"iter=50;rcl=6;ls=420",cap41_ss,1.67533e+06,1.64945e+06,1.69445e+06,14806.5
GRASP,"iter=50;rcl=6;ls=420",cap81_ss,1.2732e+06,1.243e+06,1.29571e+06,14482.3
GRASP,"iter=50;rcl=6;ls=420",cap111_ss,1.28397e+06,1.24269e+06,1.30472e+06,19048.9
GRASP,"iter=60;rcl=2;ls=293",cap41_ss,1.63912e+06,1.62715e+06,1.6523e+06,8339.04
GRASP,"iter=60;rcl=2;ls=293",cap81_ss,1.22377e+06,1.21085e+06,1.23064e+06,6546.18
GRASP,"iter=60;rcl=2;ls=293",cap111_ss,1.2121e+06,1.20134e+06,1.2257e+06,8205.74
GRASP,"iter=60;rcl=3;ls=293",cap41_ss,1.6622e+06,1.64431e+06,1.67299e+06,10410.4
GRASP,"iter=60;rcl=3;ls=293",cap81_ss,1.24791e+06,1.23401e+06,1.26588e+06,11663.2
GRASP,"iter=60;rcl=3;ls=293",cap111_ss,1.24897e+06,1.21751e+06,1.26621e+06,14812.6
GRASP,"iter=60;rcl=4;ls=293",cap41_ss,1.69043e+06,1.65929e+06,1.7108e+06,20605.8
GRASP,"iter=60;rcl=4;ls=293",cap81_ss,1.26745e+06,1.2461e+06,1.30496e+06,16771.2
GRASP,"iter=60;rcl=4;ls=293",cap111_ss,1.26819e+06,1.24335e+06,1.28216e+06,13506.4
GRASP,"iter=60;rcl=5;ls=293",cap41_ss,1.69353e+06,1.667e+06,1.72034e+06,21169.1
GRASP,"iter=60;rcl=5;ls=293",cap81_ss,1.27927e+06,1.26226e+06,1.29346e+06,11676.3
