method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=120000;cool=0.997;tmin=8;iter=6",cap81_ss,1.1873e+06,1.18074e+06,1.19033e+06,3269.02
SA,"t0=120000;cool=0.997;tmin=8;iter=6",cap111_ss,1.18241e+06,1.17305e+06,1.19104e+06,5929.78
SA,"t0=120000;cool=0.997;tmin=8;iter=7",cap41_ss,1.56447e+06,1.55975e+06,1.57127e+06,3497.66
SA,"t0=120000;cool=0.997;tmin=8;iter=7",cap81_ss,1.19034e+06,1.18341e+06,1.19815e+06,4877.27
SA,"t0=120000;cool=0.997;tmin=8;iter=7",cap111_ss,1.18029e+06,1.16925e+06,1.19736e+06,8041.8
SA,"t0=120000;cool=0.998;tmin=8;iter=2",cap41_ss,1.58184e+06,1.56401e+06,1.61604e+06,15526.8
SA,"t0=120000;cool=0.998;tmin=8;iter=2",cap81_ss,1.18901e+06,1.1841e+06,1.19357e+06,3254.07
SA,"t0=120000;cool=0.998;tmin=8;iter=2",cap111_ss,1.19224e+06,1.17532e+06,1.21875e+06,13167.6
SA,"t0=120000;cool=0.998;tmin=8;iter=3",cap41_ss,1.57538e+06,1.56271e+06,1.5956e+06,9689.66
SA,"t0=120000;cool=0.998;tmin=8;iter=3",cap81_ss,1.19075e+06,1.18314e+06,1.19689e+06,4608.64
SA,"t0=120000;cool=0.998;tmin=8;iter=3",cap111_ss,1.18242e+06,1.17316e+06,1.19192e+06,5545.45
SA,"t0=120000;cool=0.998;tmin=8;iter=4",cap41_ss,1.56874e+06,1.55975e+06,1.57877e+06,5947.38
SA,"t0=120000;cool=0.998;tmin=8;iter=4",cap81_ss,1.18733e+06,1.1817e+06,1.19582e+06,4994.12
SA,"t0=120000;cool=0.998;tmin=8;iter=4",cap111_ss,1.17809e+06,1.1689e+06,1.19066e+06,7462.49
SA,"t0=120000;cool=0.998;tmin=8;iter=5",cap41_ss,1.56554e+06,1.5638e+06,1.56903e+06,1858.57
SA,"t0=120000;cool=0.998;tmin=8;iter=5",cap81_ss,1.18883e+06,1.18355e+06,1.19275e+06,3198.97
SA,"t0=120000;cool=0.998;tmin=8;iter=5",cap111_ss,1.18237e+06,1.17127e+06,1.21041e+06,11604.5
SA,"t0=180000;cool=0.994;tmin=8;iter=10",cap41_ss,1.57063e+06,1.5638e+06,1.58286e+06,6168.88
SA,"t0=180000;cool=0.994;tmin=8;iter=10",cap81_ss,1.1895e+06,1.18355e+06,1.19307e+06,3305.88
SA,"t0=180000;cool=0.994;tmin=8;iter=10",cap111_ss,1.18052e+06,1.17061e+06,1.19286e+06,7180.28
SA,"t0=180000;cool=0.994;tmin=8;iter=11",cap41_ss,1.57746e+06,1.56279e+06,1.62615e+06,19860.3
SA,"t0=180000;cool=0.994;tmin=8;iter=11",cap81_ss,1.19008e+06,1.18596e+06,1.19655e+06,3496.56
SA,"t0=180000;cool=0.994;tmin=8;iter=11",cap111_ss,1.18191e+06,1.17879e+06,1.18966e+06,3430.8
SA,"t0=180000;cool=0.994;tmin=8;iter=12",cap41_ss,1.56514e+06,1.55975e+06,1.57869e+06,5637.57
SA,"t0=180000;cool=0.994;tmin=8;iter=12",cap81_ss,1.19178e+06,1.18755e+06,1.19782e+06,3817.23
SA,"t0=180000;cool=0.994;tmin=8;iter=12",cap111_ss,1.17924e+06,1.17496e+06,1.18609e+06,3269.97
SA,"t0=180000;cool=0.994;tmin=8;iter=13",cap41_ss,1.57102e+06,1.56271e+06,1.59129e+06,9335.2
SA,"t0=180000;cool=0.994;tmin=8;iter=13",cap81_ss,1.18912e+06,1.1841e+06,1.19586e+06,3933.34
SA,"t0=180000;cool=0.994;tmin=8;iter=13",cap111_ss,1.17956e+06,1.16917e+06,1.19431e+06,7100.86
SA,"t0=180000;cool=0.995;tmin=8;iter=8",cap41_ss,1.569e+06,1.56088e+06,1.58597e+06,7713.42
