method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=300000;cool=0.997;tmin=8;iter=4",cap41_ss,1.57619e+06,1.55975e+06,1.59945e+06,13256.7
SA,"t0=300000;cool=0.997;tmin=8;iter=4",cap81_ss,1.19347e+06,1.18341e+06,1.21995e+06,10509
SA,"t0=300000;cool=0.997;tmin=8;iter=4",cap111_ss,1.18902e+06,1.17758e+06,1.21197e+06,10206.2
SA,"t0=300000;cool=0.997;tmin=8;iter=5",cap41_ss,1.56716e+06,1.56039e+06,1.5834e+06,6523.14
SA,"t0=300000;cool=0.997;tmin=8;iter=5",cap81_ss,1.18952e+06,1.18341e+06,1.19655e+06,4580.62
SA,"t0=300000;cool=0.997;tmin=8;iter=5",cap111_ss,1.18175e+06,1.17231e+06,1.18931e+06,5628.99
SA,"t0=300000;cool=0.997;tmin=8;iter=6",cap41_ss,1.56768e+06,1.56108e+06,1.5779e+06,5632.78
SA,"t0=300000;cool=0.997;tmin=8;iter=6",cap81_ss,1.19007e+06,1.1841e+06,1.2044e+06,6378.5
SA,"t0=300000;cool=0.997;tmin=8;iter=6",cap111_ss,1.1812e+06,1.16941e+06,1.19668e+06,8551.91
SA,"t0=300000;cool=0.997;tmin=8;iter=7",cap41_ss,1.56632e+06,1.55975e+06,1.573e+06,5237.89
SA,"t0=300000;cool=0.997;tmin=8;iter=7",cap81_ss,1.18999e+06,1.18487e+06,1.19812e+06,4695.4
SA,"t0=300000;cool=0.997;tmin=8;iter=7",cap111_ss,1.17832e+06,1.16792e+06,1.1904e+06,6936.68
SA,"t0=300000;cool=0.998;tmin=8;iter=2",cap41_ss,1.57566e+06,1.56185e+06,1.58944e+06,10501.7
SA,"t0=300000;cool=0.998;tmin=8;iter=2",cap81_ss,1.1921e+06,1.18596e+06,1.1983e+06,3992.38
SA,"t0=300000;cool=0.998;tmin=8;iter=2",cap111_ss,1.18631e+06,1.17826e+06,1.20087e+06,7113.08
SA,"t0=300000;cool=0.998;tmin=8;iter=3",cap41_ss,1.5671e+06,1.5619e+06,1.57383e+06,4163.94
SA,"t0=300000;cool=0.998;tmin=8;iter=3",cap81_ss,1.19199e+06,1.18519e+06,1.21435e+06,9006.81
SA,"t0=300000;cool=0.998;tmin=8;iter=3",cap111_ss,1.18464e+06,1.17467e+06,1.19539e+06,6092.07
SA,"t0=300000;cool=0.998;tmin=8;iter=4",cap41_ss,1.56653e+06,1.56221e+06,1.57182e+06,3227.93
SA,"t0=300000;cool=0.998;tmin=8;iter=4",cap81_ss,1.19046e+06,1.18314e+06,1.19695e+06,4573.92
SA,"t0=300000;cool=0.998;tmin=8;iter=4",cap111_ss,1.18029e+06,1.17298e+06,1.19005e+06,6222.87
SA,"t0=300000;cool=0.998;tmin=8;iter=5",cap41_ss,1.56521e+06,1.55975e+06,1.5824e+06,6790.9
SA,"t0=300000;cool=0.998;tmin=8;iter=5",cap81_ss,1.18844e+06,1.18074e+06,1.19599e+06,4344.87
SA,"t0=300000;cool=0.998;tmin=8;iter=5",cap111_ss,1.17732e+06,1.17147e+06,1.18676e+06,4053.59
