method,config,instance,avg_best8,best8,worst8,std8
EA,"pop=20;gen=1000;tour=3;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.59918e+06,1.56778e+06,1.6236e+06,18481.8
EA,"pop=20;gen=1000;tour=3;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.20057e+06,1.18487e+06,1.21979e+06,13414.8
EA,"pop=20;gen=1000;tour=3;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19658e+06,1.18745e+06,1.20646e+06,6505.55
EA,"pop=20;gen=1000;tour=3;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.58732e+06,1.56676e+06,1.62013e+06,17776.4
EA,"pop=20;gen=1000;tour=3;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19631e+06,1.18955e+06,1.20681e+06,5013.05
EA,"pop=20;gen=1000;tour=3;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.20495e+06,1.18447e+06,1.22097e+06,9955.15
EA,"pop=20;gen=1000;tour=3;pm=0.90;pc=0.85;bias=0.50",cap41_ss,1.58449e+06,1.56659e+06,1.61484e+06,13753.8
EA,"pop=20;gen=1000;tour=3;pm=0.90;pc=0.85;bias=0.50",cap81_ss,1.21126e+06,1.19971e+06,1.22929e+06,9742.97
EA,"pop=20;gen=1000;tour=3;pm=0.90;pc=0.85;bias=0.50",cap111_ss,1.21573e+06,1.1991e+06,1.23974e+06,11579.4
EA,"pop=20;gen=1000;tour=7;pm=0.10;pc=0.85;bias=0.50",cap41_ss,1.61613e+06,1.57984e+06,1.65452e+06,21413.8
EA,"pop=20;gen=1000;tour=7;pm=0.10;pc=0.85;bias=0.50",cap81_ss,1.21961e+06,1.19315e+06,1.26238e+06,19764.9
EA,"pop=20;gen=1000;tour=7;pm=0.10;pc=0.85;bias=0.50",cap111_ss,1.22829e+06,1.19166e+06,1.25996e+06,22677.8
EA,"pop=20;gen=1000;tour=7;pm=0.25;pc=0.85;bias=0.50",cap41_ss,1.59033e+06,1.56846e+06,1.63412e+06,25280.2
EA,"pop=20;gen=1000;tour=7;pm=0.25;pc=0.85;bias=0.50",cap81_ss,1.2045e+06,1.18969e+06,1.22468e+06,11835.1
EA,"pop=20;gen=1000;tour=7;pm=0.25;pc=0.85;bias=0.50",cap111_ss,1.19772e+06,1.1847e+06,1.20584e+06,7600.95
EA,"pop=20;gen=1000;tour=7;pm=0.50;pc=0.85;bias=0.50",cap41_ss,1.59451e+06,1.57023e+06,1.62559e+06,18673.1
EA,"pop=20;gen=1000;tour=7;pm=0.50;pc=0.85;bias=0.50",cap81_ss,1.19707e+06,1.18668e+06,1.22023e+06,10134.8
EA,"pop=20;gen=1000;tour=7;pm=0.50;pc=0.85;bias=0.50",cap111_ss,1.19243e+06,1.16822e+06,1.20897e+06,12021.1
EA,"pop=20;gen=1000;tour=7;pm=0.75;pc=0.85;bias=0.50",cap41_ss,1.59029e+06,1.57644e+06,1.61556e+06,13165.7
EA,"pop=20;gen=1000;tour=7;pm=0.75;pc=0.85;bias=0.50",cap81_ss,1.19533e+06,1.18734e+06,1.19997e+06,3881.09
EA,"pop=20;gen=1000;tour=7;pm=0.75;pc=0.85;bias=0.50",cap111_ss,1.19385e+06,1.18197e+06,1.20045e+06,5733.49
