method,config,instance,avg_best8,best8,worst8,std8
VNS,"iter=40;shake=4;ls=520",cap81_ss,1.18824e+06,1.18341e+06,1.19478e+06,3669.6
VNS,"iter=40;shake=4;ls=520",cap111_ss,1.18919e+06,1.18066e+06,1.20401e+06,6887.78
VNS,"iter=40;shake=6;ls=520",cap41_ss,1.56349e+06,1.55993e+06,1.56674e+06,1945.42
VNS,"iter=40;shake=6;ls=520",cap81_ss,1.18781e+06,1.1817e+06,1.19656e+06,4268.36
VNS,"iter=40;shake=6;ls=520",cap111_ss,1.19313e+06,1.18479e+06,1.20257e+06,6695.71
VNS,"iter=40;shake=8;ls=520",cap41_ss,1.56466e+06,1.55975e+06,1.5676e+06,2394.22
VNS,"iter=40;shake=8;ls=520",cap81_ss,1.18556e+06,1.1817e+06,1.18894e+06,1889.93
VNS,"iter=40;shake=8;ls=520",cap111_ss,1.19641e+06,1.18513e+06,1.21761e+06,9655.85
VNS,"iter=40;shake=10;ls=520",cap41_ss,1.56673e+06,1.55975e+06,1.57734e+06,5025.98
VNS,"iter=40;shake=10;ls=520",cap81_ss,1.19048e+06,1.18412e+06,1.19787e+06,4184.78
VNS,"iter=40;shake=10;ls=520",cap111_ss,1.1961e+06,1.18281e+06,1.2134e+06,9824.4
VNS,"iter=50;shake=2;ls=360",cap41_ss,1.56406e+06,1.55975e+06,1.56963e+06,3146.58
VNS,"iter=50;shake=2;ls=360",cap81_ss,1.18831e+06,1.18386e+06,1.19558e+06,3116.93
VNS,"iter=50;shake=2;ls=360",cap111_ss,1.1894e+06,1.18019e+06,1.19709e+06,6097.99
VNS,"iter=50;shake=4;ls=360",cap41_ss,1.56686e+06,1.56072e+06,1.57448e+06,3637.12
VNS,"iter=50;shake=4;ls=360",cap81_ss,1.18975e+06,1.18473e+06,1.19294e+06,2624.85
VNS,"iter=50;shake=4;ls=360",cap111_ss,1.204e+06,1.19383e+06,1.21602e+06,8199.56
VNS,"iter=50;shake=6;ls=360",cap41_ss,1.57137e+06,1.56413e+06,1.58083e+06,6163.18
VNS,"iter=50;shake=6;ls=360",cap81_ss,1.18826e+06,1.18519e+06,1.19209e+06,2378.79
VNS,"iter=50;shake=6;ls=360",cap111_ss,1.20053e+06,1.19218e+06,1.20907e+06,4335.38
VNS,"iter=50;shake=8;ls=360",cap41_ss,1.5689e+06,1.55981e+06,1.59127e+06,9168.37
VNS,"iter=50;shake=8;ls=360",cap81_ss,1.1909e+06,1.18695e+06,1.20289e+06,4813.84
VNS,"iter=50;shake=8;ls=360",cap111_ss,1.20387e+06,1.18039e+06,1.20971e+06,9464.69
VNS,"iter=50;shake=10;ls=360",cap41_ss,1.56866e+06,1.5607e+06,1.58473e+06,6987.56
VNS,"iter=50;shake=10;ls=360",cap81_ss,1.19071e+06,1.18608e+06,1.19649e+06,3307.66
VNS,"iter=50;shake=10;ls=360",cap111_ss,1.20004e+06,1.18688e+06,1.22872e+06,13045.4
VNS,"iter=50;shake=2;ls=380",cap41_ss,1.56861e+06,1.56187e+06,1.58584e+06,7655.76
VNS,"iter=50;shake=2;ls=380",cap81_ss,1.18943e+06,1.18605e+06,1.19944e+06,4202.58
VNS,"iter=50;shake=2;ls=380",cap111_ss,1.19185e+06,1.18662e+06,1.19529e+06,2753.69
VNS,"iter=50;shake=4;ls=380",cap41_ss,1.56988e+06,1.56172e+06,1.57906e+06,6702.05
VNS,"iter=50;shake=4;ls=380",cap81_ss,1.18971e+06,1.18471e+06,1.20104e+06,5008.03
VNS,"iter=50;shake=4;ls=380",cap111_ss,1.19315e+06,1.18096e+06,1.21873e+06,11380.7
VNS,"iter=50;shake=6;ls=380",cap41_ss,1.56737e+06,1.55975e+06,1.5779e+06,5415.31
VNS,"iter=50;shake=6;ls=380",cap81_ss,1.19033e+06,1.18074e+06,1.19774e+06,4897.6
VNS,"iter=50;shake=6;ls=380",cap111_ss,1.20203e+06,1.1872e+06,1.21138e+06,7697.55
VNS,"iter=50;shake=8;ls=380",cap41_ss,1.56935e+06,1.55975e+06,1.58896e+06,9861.06
VNS,"iter=50;shake=8;ls=380",cap81_ss,1.19042e+06,1.18679e+06,1.19637e+06,3571.44
VNS,"iter=50;shake=8;ls=380",cap111_ss,1.19835e+06,1.19123e+06,1.21062e+06,6610.26
VNS,"iter=50;shake=10;ls=380",cap41_ss,1.56888e+06,1.55975e+06,1.58069e+06,7129.55
VNS,"iter=50;shake=10;ls=380",cap81_ss,1.18665e+06,1.1808e+06,1.19413e+06,3630.19
VNS,"iter=50;shake=10;ls=380",cap111_ss,1.19299e+06,1.18144e+06,1.20111e+06,6758.62
VNS,"iter=50;shake=2;ls=400",cap41_ss,1.57216e+06,1.5654e+06,1.5779e+06,4600.27
VNS,"iter=50;shake=2;ls=400",cap81_ss,1.18992e+06,1.18437e+06,1.19814e+06,4603.15
VNS,"iter=50;shake=2;ls=400",cap111_ss,1.19391e+06,1.18151e+06,1.20292e+06,6441.6
VNS,"iter=50;shake=4;ls=400",cap41_ss,1.56698e+06,1.56027e+06,1.5779e+06,5919.11
VNS,"iter=50;shake=4;ls=400",cap81_ss,1.19017e+06,1.18074e+06,1.2036e+06,6601.44
VNS,"iter=50;shake=4;ls=400",cap111_ss,1.1958e+06,1.18545e+06,1.21059e+06,7665.14
VNS,"iter=50;shake=6;ls=400",cap41_ss,1.56928e+06,1.56246e+06,1.58191e+06,6933.63
VNS,"iter=50;shake=6;ls=400",cap81_ss,1.18786e+06,1.18314e+06,1.19356e+06,3657.16
VNS,"iter=50;shake=6;ls=400",cap111_ss,1.19807e+06,1.18709e+06,1.21076e+06,7688.28
VNS,"iter=50;shake=8;ls=400",cap41_ss,1.57498e+06,1.56392e+06,1.59234e+06,8402.39
VNS,"iter=50;shake=8;ls=400",cap81_ss,1.18595e+06,1.18074e+06,1.19185e+06,3422.8
VNS,"iter=50;shake=8;ls=400",cap111_ss,1.1925e+06,1.18237e+06,1.21328e+06,9195.97
VNS,"iter=50;shake=10;ls=400",cap41_ss,1.56685e+06,1.56059e+06,1.58006e+06,5691.86
