generation,best,avg,worst,std
191,1189387.388,1225710.562,1552615.913,66050.437
192,1189684.588,1263489.753,2420271.300,172567.033
193,1189684.588,1228622.484,1703582.188,78044.865
194,1189684.588,1240835.536,2067073.475,130156.028
195,1189684.588,1259407.916,2466869.425,189099.472
196,1189684.588,1216984.625,1440354.188,49286.694
197,1189684.588,1221761.839,1519077.775,51371.695
198,1189684.588,1222721.073,1524914.375,50657.976
199,1189684.588,1243920.734,2430685.175,146557.142
200,1189684.588,1242714.448,2426777.188,155310.175
201,1189684.588,1222295.393,1773164.413,88699.691
202,1189684.588,1225275.271,1747558.588,72474.528
203,1189684.588,1226846.004,1697096.400,84073.490
204,1189684.588,1232799.013,1634664.388,76093.899
205,1189684.588,1220036.119,1644551.850,61116.030
206,1189684.588,1222935.256,1621988.938,64741.889
207,1189684.588,1224627.543,1511153.050,55181.856
208,1189684.588,1219399.788,1620138.388,67271.406
209,1189684.588,1229284.533,1830123.588,99165.639
210,1189684.588,1220125.130,1518936.988,62446.549
211,1189684.588,1242512.452,2452314.950,154110.829
212,1189684.588,1236125.275,1620138.388,74566.657
213,1189684.588,1218411.522,1452875.938,38398.894
214,1189684.588,1224392.505,1831247.338,81156.711
215,1189684.588,1233484.920,1697651.038,102476.346
216,1189684.588,1241368.313,2452314.950,155017.220
217,1189684.588,1228757.595,1644917.850,74184.955
218,1189684.588,1219362.530,1365116.650,39567.260
219,1189684.588,1222955.613,1533436.813,64577.867
220,1189684.588,1220435.660,1785787.575,73653.910
221,1189684.588,1214937.806,1562776.725,48779.374
222,1189684.588,1228890.783,1566703.175,66588.089
223,1189684.588,1225083.918,1672543.988,65154.279
224,1189684.588,1220739.771,1531619.075,53751.185
225,1189684.588,1227882.800,1618225.900,76414.833
226,1189684.588,1244163.379,2452314.950,172733.472
227,1189684.588,1234611.305,1787187.388,93760.955
228,1189684.588,1220978.723,1509114.288,57736.134
229,1189684.588,1230097.583,1552273.750,68802.728
230,1188820.988,1248778.719,2426411.188,172137.198
231,1189684.588,1224512.053,1696686.038,71099.622
232,1188820.988,1227762.600,1870610.988,84716.111
233,1189240.413,1240399.014,2073658.700,127532.918
234,1188820.988,1248707.298,1696677.238,108414.655
235,1188820.988,1240640.707,1869339.988,98582.857
236,1189426.137,1224588.905,1556544.537,60232.920
237,1189426.137,1223244.926,1618385.900,55763.417
238,1188820.988,1264580.636,2477417.750,185375.875
239,1188820.988,1221018.858,1502930.288,53290.811
240,1188820.988,1236563.686,1787187.388,95659.237
241,1188820.988,1217153.127,1391759.988,41079.220
242,1188820.988,1246901.183,2451377.425,161012.537
243,1188820.988,1223273.900,1468015.700,47653.988
244,1188820.988,1213046.391,1458200.313,37391.303
245,1188820.988,1228781.506,1727401.525,77436.248
246,1188820.988,1235052.281,2418164.413,141233.435
247,1188820.988,1240955.163,2477281.188,156997.222
248,1188820.988,1240698.786,2458840.462,160036.039
249,1188820.988,1230245.709,1854266.325,86826.813
250,1188820.988,1219729.282,1497499.450,50221.695
