generation,best,avg,worst,std
1,2.38898e+06,3801582.380,5483736.850,604354.721
2,2133757.925,3007889.335,4723628.713,495545.754
3,1856731.575,2443895.643,3750793.225,369244.191
4,1721901.300,2148606.123,3062261.688,292981.614
5,1689179.288,1924597.048,3252283.825,279274.965
6,1612749.588,1823351.940,2848188.487,210857.454
7,1485314.488,1722623.855,2784597.150,180659.863
8,1421650.838,1612212.852,2135439.913,102988.226
9,1389075.613,1580687.951,2239459.112,162369.526
10,1387563.475,1504601.390,2226204.725,154145.230
11,1343915.625,1475674.650,2043515.125,140189.587
12,1330001.225,1403249.451,1649410.350,60409.918
13,1294442.950,1412280.902,1900074.213,131624.940
14,1282085.263,1388929.685,1977221.550,129574.092
15,1284608.563,1367836.757,2006662.250,108270.787
16,1279082.200,1354956.591,1979086.150,137036.937
17,1272746.913,1370745.508,2524930.587,202650.706
18,1258752.725,1342554.237,1813569.938,122420.566
19,1252539.275,1332492.397,1806187.300,116843.520
20,1250371.038,1303354.509,1771877.638,95439.317
21,1246769.938,1371942.452,2471005.175,216235.470
22,1234059.725,1344835.974,2496968.000,196221.207
23,1239533.312,1324645.438,1787764.950,148917.435
24,1233771.263,1312910.665,1839112.163,130228.938
25,1230265.087,1326790.712,2162565.475,174042.098
26,1224995.800,1289107.996,1781911.487,115221.171
27,1226852.938,1277238.677,1766838.525,91013.355
28,1225121.038,1313479.850,2471003.150,192192.931
29,1219757.863,1274955.684,1781688.888,105491.464
30,1217377.425,1272351.462,1763982.525,99776.467
31,1217226.675,1270798.610,1731275.025,81329.607
32,1217226.675,1266054.054,1762007.688,85999.366
33,1210346.050,1266078.268,2125728.075,118422.131
34,1209993.062,1298818.955,2469834.275,192875.719
35,1209743.062,1251904.600,1872659.000,97770.075
36,1207222.525,1270758.767,2488673.788,165513.200
37,1205566.262,1256958.027,1808662.950,98098.457
38,1205566.262,1261001.535,1662309.263,104647.242
39,1204527.813,1279932.879,2517540.950,186129.280
40,1205683.037,1292765.751,2089504.150,167890.540
41,1205334.637,1282301.868,2129132.950,154008.310
42,1204031.088,1263954.355,1679354.613,110374.899
43,1204031.088,1257649.455,1697944.938,111443.651
44,1202942.950,1268762.547,2127725.237,149559.288
45,1203715.675,1238671.956,1649045.650,74065.518
46,1203715.675,1261327.989,1686557.575,118665.424
47,1203116.875,1255423.536,2114736.550,136821.111
48,1203090.500,1282449.610,2111929.025,159156.809
49,1202532.963,1268659.072,1712302.075,120000.053
50,1202906.300,1249796.737,2111618.050,121718.128
51,1202906.300,1274842.262,2447882.462,193911.540
52,1202308.213,1263788.253,2474576.125,167614.650
53,1201897.513,1243248.823,2125883.388,119792.160
54,1202273.563,1253797.947,2498067.163,149705.713
55,1201968.888,1231459.697,1539015.313,57931.923
56,1201968.888,1235300.181,1584494.738,61000.532
57,1201709.413,1230906.141,1475581.888,42122.207
58,1201564.813,1246897.047,2436800.550,146292.812
59,1201709.413,1233311.215,1635988.025,63939.392
60,1201376.713,1243440.103,2129934.987,125226.537
61,1200777.913,1246399.512,2453638.700,144362.417
62,1200777.913,1254942.982,2124608.413,132723.040
63,1200614.463,1237480.284,1676577.013,68034.826
