iteration,shaken,after_local_search,best
1,5.0685e+06,3.74356e+06,3.74356e+06
2,3.74136e+06,3.66391e+06,3.66391e+06
3,3.86556e+06,3.76903e+06,3.66391e+06
4,3.76946e+06,3.64081e+06,3.64081e+06
5,3.60546e+06,2.20487e+06,2.20487e+06
6,2.48356e+06,1.86673e+06,1.86673e+06
7,2.01464e+06,2.00127e+06,1.86673e+06
8,1.88736e+06,1.73951e+06,1.73951e+06
9,1.71065e+06,1.68526e+06,1.68526e+06
10,1.66793e+06,1.6567e+06,1.6567e+06
11,1.65806e+06,1.62267e+06,1.62267e+06
12,1.79794e+06,1.74828e+06,1.62267e+06
13,1.65591e+06,1.61202e+06,1.61202e+06
14,1.61923e+06,1.61004e+06,1.61004e+06
15,1.6415e+06,1.61431e+06,1.61004e+06
16,1.66939e+06,1.66939e+06,1.61004e+06
17,1.6963e+06,1.53751e+06,1.53751e+06
18,1.54508e+06,1.51686e+06,1.51686e+06
19,1.58769e+06,1.52093e+06,1.51686e+06
20,1.56371e+06,1.51325e+06,1.51325e+06
21,1.57294e+06,1.55158e+06,1.51325e+06
22,1.8569e+06,1.53686e+06,1.51325e+06
23,1.95521e+06,1.58863e+06,1.51325e+06
24,1.51156e+06,1.50361e+06,1.50361e+06
25,1.50699e+06,1.5045e+06,1.50361e+06
26,1.52909e+06,1.52909e+06,1.50361e+06
27,1.88624e+06,1.87821e+06,1.50361e+06
28,1.51168e+06,1.47657e+06,1.47657e+06
29,1.53451e+06,1.53451e+06,1.47657e+06
30,1.51024e+06,1.50467e+06,1.47657e+06
31,1.51473e+06,1.51139e+06,1.47657e+06
32,1.48818e+06,1.47704e+06,1.47657e+06
33,1.51998e+06,1.47542e+06,1.47542e+06
34,1.6274e+06,1.57271e+06,1.47542e+06
35,1.99543e+06,1.95358e+06,1.47542e+06
36,1.79342e+06,1.71991e+06,1.47542e+06
37,1.48264e+06,1.4588e+06,1.4588e+06
38,1.48308e+06,1.48167e+06,1.4588e+06
39,1.46084e+06,1.45728e+06,1.45728e+06
40,1.48183e+06,1.4699e+06,1.45728e+06
41,1.48003e+06,1.47596e+06,1.45728e+06
42,1.47676e+06,1.38527e+06,1.38527e+06
43,1.43223e+06,1.40085e+06,1.38527e+06
44,1.42052e+06,1.40137e+06,1.38527e+06
45,1.38733e+06,1.31451e+06,1.31451e+06
46,1.44929e+06,1.43053e+06,1.31451e+06
47,1.31571e+06,1.3091e+06,1.3091e+06
48,1.31268e+06,1.30983e+06,1.3091e+06
49,1.40676e+06,1.4022e+06,1.3091e+06
50,1.30754e+06,1.30302e+06,1.30302e+06
51,1.34677e+06,1.34147e+06,1.30302e+06
52,1.34896e+06,1.33152e+06,1.30302e+06
